"Categoria Agronomica","Nome Comune della Specie","Classe","Ordine","Famiglia","Genere","Specie"
"Drupacee","Ciliegio","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus avium"
"Pomacee","Melo","Magnoliopsida","Rosales","Rosaceae","Malus","Malus domestica"
"Actinidiaceae","Kiwi","Magnoliopsida","Ericales","Actinidiaceae","Actinidia","Actinidia deliciosa"
"Solanaceae","Pomodoro","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum lycopersicum"
"Vitaceae","Vite","Magnoliopsida","Vitales","Vitaceae","Vitis","Vitis vinifera"
"Drupacee","Ciliegio acido","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus cerasus"
"Drupacee","Pesco","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus persica"
"Drupacee","Nettarina","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus persica var. nucipersica"
"Drupacee","Albicocco","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus armeniaca"
"Drupacee","Susino europeo","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus domestica"
"Drupacee","Susino cino-giapponese","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus salicina"
"Drupacee","Mandorlo","Magnoliopsida","Rosales","Rosaceae","Prunus","Prunus dulcis"
"Pomacee","Pero","Magnoliopsida","Rosales","Rosaceae","Pyrus","Pyrus communis"
"Pomacee","Cotogno","Magnoliopsida","Rosales","Rosaceae","Cydonia","Cydonia oblonga"
"Pomacee","Nespolo del Giappone","Magnoliopsida","Rosales","Rosaceae","Eriobotrya","Eriobotrya japonica"
"Pomacee","Nespolo comune","Magnoliopsida","Rosales","Rosaceae","Mespilus","Mespilus germanica"
"Pomacee","Sorbo domestico","Magnoliopsida","Rosales","Rosaceae","Sorbus","Sorbus domestica"
"Pomacee","Azzeruolo","Magnoliopsida","Rosales","Rosaceae","Crataegus","Crataegus azarolus"
"Agrumi","Arancio dolce","Magnoliopsida","Sapindales","Rutaceae","Citrus","Citrus sinensis"
"Agrumi","Mandarino","Magnoliopsida","Sapindales","Rutaceae","Citrus","Citrus reticulata"
