Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;1,9308;0,8136;2,3526;0,2114;0,9804;5,0926;2,7597;0,3000;0,3500
2;1;1,9308;0,8136;2,3526;0,2114;0,9804;5,0926;2,7597;0,3000;0,3500
3;1;1,9308;0,8136;2,3526;0,2114;0,9804;5,0926;2,7597;0,3000;0,3500
4;1;1,9308;0,8136;2,3526;0,2114;0,9804;5,0926;2,7597;0,3000;0,3500
5;1;1,9308;0,8136;2,3526;0,2114;0,9804;5,0926;2,7597;0,3000;0,3500
6;1;1,9308;0,8136;2,3526;0,2114;0,9804;5,0926;2,7597;0,3000;0,3500
7;1;1,9308;0,8136;2,3526;0,2114;0,9804;5,0926;2,7597;0,3000;0,3500
8;2;1,9308;0,8136;2,3526;0,2114;0,9804;5,0926;2,7597;0,3000;0,3500
9;2;1,9308;0,8136;2,3526;0,2114;0,9804;5,0926;2,7597;0,3000;0,3500
10;2;1,0619;0,8136;3,2937;0,2937;1,3726;5,0926;1,0841;0,2977;0,3500
11;2;1,0619;0,8136;3,2937;0,2937;1,3726;9,1667;1,0841;0,2977;0,3500
12;2;1,0619;0,8136;3,2937;0,2937;1,3726;9,1667;1,0841;0,2977;0,3500
13;2;1,0619;0,8136;3,2937;0,2937;1,3726;9,1667;1,0841;0,2977;0,3500
14;2;1,0619;0,8136;3,2937;0,2937;1,3726;9,1667;1,0841;0,2977;0,3500
15;3;1,0619;0,8136;3,2937;0,2937;1,3726;9,1667;1,0841;0,2977;0,3500
16;3;1,8584;1,4238;5,7640;0,5179;2,4020;9,1667;1,0841;0,3000;0,3500
17;3;1,8584;1,4238;5,7640;0,5179;2,4020;9,1667;1,0841;0,3000;0,3500
18;3;1,8584;1,4238;5,7640;0,5179;2,4020;12,2222;1,0841;0,3000;0,3500
19;3;1,8584;1,4238;5,7640;0,5179;2,4020;12,2222;1,0841;0,3000;0,3500
20;3;1,8584;1,4238;5,7640;0,5179;2,4020;12,2222;1,0841;0,3000;0,3500
21;3;2,6429;1,7444;8,6450;0,7768;3,6026;12,2222;1,0280;0,3000;0,3500
22;4;2,6429;1,7444;8,6450;0,7768;3,6026;12,2222;1,0280;0,3000;0,3500
23;4;2,6429;1,7444;8,6450;0,7768;3,6026;12,2222;1,0280;0,3000;0,3500
24;4;2,6429;1,7444;8,6450;0,7768;3,6026;12,2222;1,0280;0,3000;0,3500
25;4;2,6429;1,7444;8,6450;0,7768;3,6026;12,2222;1,0280;0,3000;0,3500
26;4;2,6429;1,7444;8,6450;0,7768;3,6026;12,2222;1,0280;0,3000;0,3500
27;4;2,6429;1,7444;8,6450;0,7768;3,6026;12,2222;1,0280;0,3000;0,3500
28;4;2,6429;1,7444;8,6450;0,7768;3,6026;12,2222;1,0280;0,3000;0,3500
29;5;2,6429;1,7444;8,6450;0,7768;3,6026;12,2222;1,0280;0,3000;0,3500
30;5;2,6429;1,7444;8,6450;0,7768;3,6026;12,2222;1,0280;0,3000;0,3500
31;5;2,6429;1,7444;8,6450;0,7768;3,6026;12,2222;1,0280;0,3000;0,3500
32;5;2,6429;1,7444;8,6450;0,7768;3,6026;12,2222;1,0280;0,3000;0,3500
33;5;2,6545;2,0352;8,1338;0,7309;3,3896;17,3149;1,0974;0,3000;0,3500
34;5;2,6545;2,0352;8,1338;0,7309;3,3896;17,3149;1,0974;0,3000;0,3500
35;5;2,6545;2,0352;8,1338;0,7309;3,3896;17,3149;1,0974;0,3000;0,3500
36;6;4,2472;3,2563;13,0141;1,1694;5,4233;17,3149;1,0974;0,3000;0,3500
37;6;4,2472;3,2563;13,0141;1,1694;5,4233;17,3149;1,0974;0,3000;0,3500
38;6;4,2472;3,2563;13,0141;1,1694;5,4233;17,3149;1,0974;0,3000;0,3500
39;6;4,2472;3,2563;13,0141;1,1694;5,4233;17,3149;1,0974;0,3000;0,3500
40;6;4,2472;3,2563;13,0141;1,1694;5,4233;17,3149;1,0974;0,3000;0,3500
41;6;4,2472;3,2563;13,0141;1,1694;5,4233;17,3149;1,0974;0,3000;0,3500
42;6;4,2472;3,2563;13,0141;1,1694;5,4233;17,3149;1,0974;0,3000;0,3500
43;7;4,2472;3,2563;13,0141;1,1694;5,4233;17,3149;1,0974;0,3000;0,3500
44;7;4,2472;3,2563;13,0141;1,1694;5,4233;17,3149;1,0974;0,3000;0,3500
45;7;4,2472;3,2563;13,0141;1,1694;5,4233;17,3149;1,0974;0,3000;0,3500
46;7;5,2202;1,6281;3,0211;0,2715;1,2590;17,3149;5,8102;0,3000;0,3500
47;7;5,2202;1,6281;3,0211;0,2715;1,2590;17,3149;5,8102;0,3000;0,3500
48;7;5,2202;1,6281;3,0211;0,2715;1,2590;23,4260;5,8102;0,3000;0,3500
49;7;5,2202;1,6281;3,0211;0,2715;1,2590;23,4260;5,8102;0,3000;0,3500
50;8;5,2202;1,6281;3,0211;0,2715;1,2590;23,4260;5,8102;0,3000;0,3500
51;8;7,3213;1,9189;4,2179;0,3790;1,7577;23,4260;5,8366;0,3000;0,3500
52;8;7,3213;1,9189;4,2179;0,3790;1,7577;23,4260;5,8366;0,3000;0,3500
53;8;7,3213;1,9189;4,2179;0,3790;1,7577;23,4260;5,8366;0,3000;0,3500
54;8;7,3213;1,9189;4,2179;0,3790;1,7577;23,4260;5,8366;0,3000;0,3500
