Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;0,9059;0,6366;0,7549;0,1292;0,4494;5,0926;4,0350;0,4000;0,5000
2;1;0,9059;0,6366;0,7549;0,1292;0,4494;5,0926;4,0350;0,4000;0,5000
3;1;0,9059;0,6366;0,7549;0,1292;0,4494;5,0926;4,0350;0,4000;0,5000
4;1;0,9059;0,6366;0,7549;0,1292;0,4494;5,0926;4,0350;0,4000;0,5000
5;1;0,9059;0,6366;0,7549;0,1292;0,4494;5,0926;4,0350;0,4000;0,5000
6;1;0,9059;0,6366;0,7549;0,1292;0,4494;5,0926;4,0350;0,4000;0,5000
7;1;0,9059;0,6366;0,7549;0,1292;0,4494;5,0926;4,0350;0,4000;0,5000
8;2;0,9059;0,6366;0,7549;0,1292;0,4494;5,0926;4,0350;0,4000;0,5000
9;2;0,9059;0,6366;0,7549;0,1292;0,4494;5,0926;4,0350;0,4000;0,5000
10;2;0,9059;0,6366;0,7549;0,1292;0,4494;5,0926;4,0350;0,4000;0,5000
11;2;0,9059;0,6366;0,7549;0,1292;0,4494;9,1667;4,0350;0,4000;0,5000
12;2;0,9059;0,6366;0,7549;0,1292;0,4494;9,1667;4,0350;0,4000;0,5000
13;2;0,9059;0,6366;0,7549;0,1292;0,4494;9,1667;4,0350;0,4000;0,5000
14;2;0,9059;0,6366;0,7549;0,1292;0,4494;9,1667;4,0350;0,4000;0,5000
15;3;0,9059;0,6366;0,7549;0,1292;0,4494;9,1667;4,0350;0,4000;0,5000
16;3;0,9059;0,6366;0,7549;0,1292;0,4494;9,1667;4,0350;0,4000;0,5000
17;3;0,9059;0,6366;0,7549;0,1292;0,4494;9,1667;4,0350;0,4000;0,5000
18;3;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
19;3;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
20;3;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
21;3;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
22;4;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
23;4;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
24;4;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
25;4;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
26;4;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
27;4;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
28;4;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
29;5;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
30;5;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
31;5;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
32;5;0,9059;0,6366;0,7549;0,1292;0,4494;12,2222;4,0350;0,4000;0,5000
33;5;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
34;5;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
35;5;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
36;6;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
37;6;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
38;6;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
39;6;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
40;6;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
41;6;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
42;6;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
43;7;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
44;7;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
45;7;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
46;7;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
47;7;0,9059;0,6366;0,7549;0,1292;0,4494;17,3149;4,0350;0,4000;0,5000
48;7;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
49;7;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
50;8;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
51;8;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
52;8;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
53;8;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
54;8;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
55;8;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
56;8;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
57;9;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
58;9;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
59;9;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
60;9;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
61;9;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
62;9;0,9059;0,6366;0,7549;0,1292;0,4494;23,4260;4,0350;0,4000;0,5000
63;9;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
64;10;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
65;10;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
66;10;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
67;10;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
68;10;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
69;10;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
70;10;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
71;11;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
72;11;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
73;11;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
74;11;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
75;11;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
76;11;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
77;11;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
78;12;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
79;12;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
80;12;0,9059;0,6366;0,7549;0,1292;0,4494;29,5372;4,0350;0,4000;0,5000
81;12;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
82;12;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
83;12;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
84;12;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
85;13;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
86;13;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
87;13;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
88;13;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
89;13;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
90;13;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
91;13;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
92;14;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
93;14;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
94;14;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
95;14;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
96;14;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
97;14;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
98;14;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
99;15;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
100;15;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
101;15;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
102;15;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
103;15;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
104;15;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
105;15;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
106;16;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
107;16;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
108;16;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
109;16;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
110;16;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
111;16;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
112;16;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
113;17;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
114;17;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
115;17;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
116;17;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
117;17;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
118;17;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
119;17;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
120;18;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
121;18;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
122;18;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
123;18;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
124;18;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
125;18;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
126;18;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
127;19;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
128;19;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
129;19;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
130;19;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
131;19;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
132;19;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
133;19;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
134;20;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
135;20;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
136;20;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
137;20;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
138;20;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
139;20;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
140;20;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
141;21;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
142;21;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
143;21;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
144;21;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
145;21;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
146;21;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
147;21;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
148;22;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
149;22;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
150;22;0,9059;0,6366;0,7549;0,1292;0,4494;35,6483;4,0350;0,4000;0,5000
