Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;1,6413;1,0374;2,0741;0,3550;1,2348;5,0926;2,6609;0,4000;0,5000
2;1;1,6413;1,0374;2,0741;0,3550;1,2348;5,0926;2,6609;0,4000;0,5000
3;1;1,6413;1,0374;2,0741;0,3550;1,2348;5,0926;2,6609;0,4000;0,5000
4;1;1,6413;1,0374;2,0741;0,3550;1,2348;5,0926;2,6609;0,4000;0,5000
5;1;1,6413;1,0374;2,0741;0,3550;1,2348;5,0926;2,6609;0,4000;0,5000
6;1;1,6413;1,0374;2,0741;0,3550;1,2348;5,0926;2,6609;0,4000;0,5000
7;1;1,6413;1,0374;2,0741;0,3550;1,2348;5,0926;2,6609;0,4000;0,5000
8;2;1,6413;1,0374;2,0741;0,3550;1,2348;5,0926;2,6609;0,4000;0,5000
9;2;1,6413;1,0374;2,0741;0,3550;1,2348;5,0926;2,6609;0,4000;0,5000
10;2;1,6413;1,0374;2,0741;0,3550;1,2348;5,0926;2,6609;0,4000;0,5000
11;2;2,8723;1,8154;3,6297;0,6212;2,1609;9,1667;2,6609;0,4000;0,5000
12;2;2,8723;1,8154;3,6297;0,6212;2,1609;9,1667;2,6609;0,4000;0,5000
13;2;2,8723;1,8154;3,6297;0,6212;2,1609;9,1667;2,6609;0,4000;0,5000
14;2;2,8723;1,8154;3,6297;0,6212;2,1609;9,1667;2,6609;0,4000;0,5000
15;3;2,8723;1,8154;3,6297;0,6212;2,1609;9,1667;2,6609;0,4000;0,5000
16;3;2,8723;1,8154;3,6297;0,6212;2,1609;9,1667;2,6609;0,4000;0,5000
17;3;2,8723;1,8154;3,6297;0,6212;2,1609;9,1667;2,6609;0,4000;0,5000
18;3;4,1032;2,5934;5,1853;0,8875;3,0869;12,2222;2,6609;0,4000;0,5000
19;3;4,1032;2,5934;5,1853;0,8875;3,0869;12,2222;2,6609;0,4000;0,5000
20;3;4,1032;2,5934;5,1853;0,8875;3,0869;12,2222;2,6609;0,4000;0,5000
21;3;4,1032;2,5934;5,1853;0,8875;3,0869;12,2222;2,6609;0,4000;0,5000
22;4;4,1032;2,5934;5,1853;0,8875;3,0869;12,2222;2,6609;0,4000;0,5000
23;4;4,1032;2,5934;5,1853;0,8875;3,0869;12,2222;2,6609;0,4000;0,5000
24;4;4,1032;2,5934;5,1853;0,8875;3,0869;12,2222;2,6609;0,4000;0,5000
25;4;4,1032;2,5934;5,1853;0,8875;3,0869;12,2222;2,6609;0,4000;0,5000
