Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;3,9490;0,4327;5,6980;1,0971;3,3922;5,0926;2,3304;0,4500;0,5000
2;1;3,9490;0,4327;5,6980;1,0971;3,3922;5,0926;2,3304;0,4500;0,5000
3;1;3,9490;0,4327;5,6980;1,0971;3,3922;5,0926;2,3304;0,4500;0,5000
4;1;3,9490;0,4327;5,6980;1,0971;3,3922;5,0926;2,3304;0,4500;0,5000
5;1;3,9490;0,4327;5,6980;1,0971;3,3922;5,0926;2,3304;0,4500;0,5000
6;1;3,9490;0,4327;5,6980;1,0971;3,3922;5,0926;2,3304;0,4500;0,5000
7;1;3,9490;0,4327;5,6980;1,0971;3,3922;5,0926;2,3304;0,4500;0,5000
8;2;3,9490;0,4327;5,6980;1,0971;3,3922;5,0926;2,3304;0,4500;0,5000
9;2;3,9490;0,4327;5,6980;1,0971;3,3922;5,0926;2,3304;0,4500;0,5000
10;2;3,9490;0,4327;5,6980;1,0971;3,3922;5,0926;2,3304;0,4500;0,5000
11;2;3,9490;0,4327;5,6980;1,0971;3,3922;9,1667;2,3304;0,4500;0,5000
12;2;3,9490;0,4327;5,6980;1,0971;3,3922;9,1667;2,3304;0,4500;0,5000
13;2;3,9490;0,4327;5,6980;1,0971;3,3922;9,1667;2,3304;0,4500;0,5000
14;2;3,9490;0,4327;5,6980;1,0971;3,3922;9,1667;2,3304;0,4500;0,5000
15;3;3,9490;0,4327;5,6980;1,0971;3,3922;9,1667;2,3304;0,4500;0,5000
16;3;3,9490;0,4327;5,6980;1,0971;3,3922;9,1667;2,3304;0,4500;0,5000
17;3;3,9490;0,4327;5,6980;1,0971;3,3922;9,1667;2,3304;0,4500;0,5000
18;3;3,9490;0,4327;5,6980;1,0971;3,3922;12,2222;2,3304;0,4500;0,5000
