Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;1,6587;0,8515;1,8592;0,3182;1,1068;5,0926;3,0000;0,4000;0,5000
2;1;1,6587;0,8515;1,8592;0,3182;1,1068;5,0926;3,0000;0,4000;0,5000
3;1;1,6587;0,8515;1,8592;0,3182;1,1068;5,0926;3,0000;0,4000;0,5000
4;1;1,6587;0,8515;1,8592;0,3182;1,1068;5,0926;3,0000;0,4000;0,5000
5;1;1,6587;0,8515;1,8592;0,3182;1,1068;5,0926;3,0000;0,4000;0,5000
6;1;1,6587;0,8515;1,8592;0,3182;1,1068;5,0926;3,0000;0,4000;0,5000
7;1;1,6587;0,8515;1,8592;0,3182;1,1068;5,0926;3,0000;0,4000;0,5000
8;2;1,6587;0,8515;1,8592;0,3182;1,1068;5,0926;3,0000;0,4000;0,5000
9;2;1,6587;0,8515;1,8592;0,3182;1,1068;5,0926;3,0000;0,4000;0,5000
10;2;1,6587;0,8515;1,8592;0,3182;1,1068;5,0926;3,0000;0,4000;0,5000
11;2;2,9027;1,4901;3,2535;0,5568;1,9369;9,1667;3,0000;0,4000;0,5000
12;2;2,9027;1,4901;3,2535;0,5568;1,9369;9,1667;3,0000;0,4000;0,5000
13;2;2,9027;1,4901;3,2535;0,5568;1,9369;9,1667;3,0000;0,4000;0,5000
14;2;2,9027;1,4901;3,2535;0,5568;1,9369;9,1667;3,0000;0,4000;0,5000
15;3;2,9027;1,4901;3,2535;0,5568;1,9369;9,1667;3,0000;0,4000;0,5000
16;3;2,9027;1,4901;3,2535;0,5568;1,9369;9,1667;3,0000;0,4000;0,5000
17;3;2,9027;1,4901;3,2535;0,5568;1,9369;9,1667;3,0000;0,4000;0,5000
18;3;4,1468;2,1288;4,6479;0,7955;2,7670;12,2222;3,0000;0,4000;0,5000
19;3;4,1468;2,1288;4,6479;0,7955;2,7670;12,2222;3,0000;0,4000;0,5000
20;3;4,1468;2,1288;4,6479;0,7955;2,7670;12,2222;3,0000;0,4000;0,5000
21;3;4,1468;2,1288;4,6479;0,7955;2,7670;12,2222;3,0000;0,4000;0,5000
22;4;6,6348;3,4061;7,4366;1,2728;4,4272;12,2222;3,0000;0,4000;0,5000
23;4;6,6348;3,4061;7,4366;1,2728;4,4272;12,2222;3,0000;0,4000;0,5000
24;4;6,6348;3,4061;7,4366;1,2728;4,4272;12,2222;3,0000;0,4000;0,5000
25;4;6,6348;3,4061;7,4366;1,2728;4,4272;12,2222;3,0000;0,4000;0,5000
26;4;6,6348;3,4061;7,4366;1,2728;4,4272;12,2222;3,0000;0,4000;0,5000
27;4;6,6348;3,4061;7,4366;1,2728;4,4272;12,2222;3,0000;0,4000;0,5000
28;4;6,6348;3,4061;7,4366;1,2728;4,4272;12,2222;3,0000;0,4000;0,5000
29;5;6,6348;3,4061;7,4366;1,2728;4,4272;12,2222;3,0000;0,4000;0,5000
30;5;9,1229;4,6833;10,2253;1,7501;6,0874;12,2222;3,0000;0,4000;0,5000
31;5;9,1229;4,6833;10,2253;1,7501;6,0874;12,2222;3,0000;0,4000;0,5000
32;5;9,1229;4,6833;10,2253;1,7501;6,0874;12,2222;3,0000;0,4000;0,5000
33;5;9,1229;4,6833;10,2253;1,7501;6,0874;17,3149;3,0000;0,4000;0,5000
34;5;9,1229;4,6833;10,2253;1,7501;6,0874;17,3149;3,0000;0,4000;0,5000
35;5;9,1229;4,6833;10,2253;1,7501;6,0874;17,3149;3,0000;0,4000;0,5000
36;6;9,1229;4,6833;10,2253;1,7501;6,0874;17,3149;3,0000;0,4000;0,5000
37;6;11,6110;5,9606;13,0141;2,2274;7,7476;17,3149;3,0000;0,4000;0,5000
38;6;11,6110;5,9606;13,0141;2,2274;7,7476;17,3149;3,0000;0,4000;0,5000
39;6;11,6110;5,9606;13,0141;2,2274;7,7476;17,3149;3,0000;0,4000;0,5000
40;6;11,6110;5,9606;13,0141;2,2274;7,7476;17,3149;3,0000;0,4000;0,5000
41;6;11,6110;5,9606;13,0141;2,2274;7,7476;17,3149;3,0000;0,4000;0,5000
42;6;10,4499;5,9606;13,0141;2,2274;7,7476;17,3149;2,7000;0,4000;0,5000
43;7;10,4499;5,9606;13,0141;2,2274;7,7476;17,3149;2,7000;0,4000;0,5000
44;7;10,4499;5,9606;13,0141;2,2274;7,7476;17,3149;2,7000;0,4000;0,5000
45;7;10,4499;5,9606;13,0141;2,2274;7,7476;17,3149;2,7000;0,4000;0,5000
46;7;10,4499;5,9606;13,0141;2,2274;7,7476;17,3149;2,7000;0,4000;0,5000
47;7;10,4499;5,9606;13,0141;2,2274;7,7476;17,3149;2,7000;0,4000;0,5000
48;7;10,4499;5,9606;13,0141;2,2274;7,7476;23,4260;2,7000;0,4000;0,5000
49;7;10,4499;5,9606;13,0141;2,2274;7,7476;23,4260;2,7000;0,4000;0,5000
50;8;13,5116;5,4284;19,7535;3,3808;11,7598;23,4260;2,3000;0,4000;0,5000
51;8;13,5116;5,4284;19,7535;3,3808;11,7598;23,4260;2,3000;0,4000;0,5000
52;8;13,5116;5,4284;19,7535;3,3808;11,7598;23,4260;2,3000;0,4000;0,5000
53;8;13,5116;5,4284;19,7535;3,3808;11,7598;23,4260;2,3000;0,4000;0,5000
54;8;13,5116;5,4284;19,7535;3,3808;11,7598;23,4260;2,3000;0,4000;0,5000
55;8;13,5116;5,4284;19,7535;3,3808;11,7598;23,4260;2,3000;0,4000;0,5000
56;8;13,5116;5,4284;19,7535;3,3808;11,7598;23,4260;2,3000;0,4000;0,5000
57;9;13,5116;5,4284;19,7535;3,3808;11,7598;23,4260;2,3000;0,4000;0,5000
58;9;13,5116;5,4284;19,7535;3,3808;11,7598;23,4260;2,3000;0,4000;0,5000
59;9;13,5116;5,4284;19,7535;3,3808;11,7598;23,4260;2,3000;0,4000;0,5000
60;9;13,5116;5,4284;19,7535;3,3808;11,7598;23,4260;2,3000;0,4000;0,5000
61;9;12,9241;5,4284;19,7535;3,3808;11,7598;23,4260;2,2000;0,4000;0,5000
62;9;12,9241;5,4284;19,7535;3,3808;11,7598;23,4260;2,2000;0,4000;0,5000
63;9;12,9241;5,4284;19,7535;3,3808;11,7598;29,5372;2,2000;0,4000;0,5000
