Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;1,0773;0,3740;1,3932;0,2384;0,8294;5,0926;2,6000;0,4000;0,5000
2;1;1,0773;0,3740;1,3932;0,2384;0,8294;5,0926;2,6000;0,4000;0,5000
3;1;1,0773;0,3740;1,3932;0,2384;0,8294;5,0926;2,6000;0,4000;0,5000
4;1;1,0773;0,3740;1,3932;0,2384;0,8294;5,0926;2,6000;0,4000;0,5000
5;1;1,0773;0,3740;1,3932;0,2384;0,8294;5,0926;2,6000;0,4000;0,5000
6;1;1,0773;0,3740;1,3932;0,2384;0,8294;5,0926;2,6000;0,4000;0,5000
7;1;1,0773;0,3740;1,3932;0,2384;0,8294;5,0926;2,6000;0,4000;0,5000
8;2;1,0773;0,3740;1,3932;0,2384;0,8294;5,0926;2,6000;0,4000;0,5000
9;2;1,0773;0,3740;1,3932;0,2384;0,8294;5,0926;2,6000;0,4000;0,5000
10;2;1,0773;0,3740;1,3932;0,2384;0,8294;5,0926;2,6000;0,4000;0,5000
11;2;1,0773;0,3740;1,3932;0,2384;0,8294;9,1667;2,6000;0,4000;0,5000
12;2;1,0773;0,3740;1,3932;0,2384;0,8294;9,1667;2,6000;0,4000;0,5000
13;2;1,0773;0,3740;1,3932;0,2384;0,8294;9,1667;2,6000;0,4000;0,5000
14;2;1,0773;0,3740;1,3932;0,2384;0,8294;9,1667;2,6000;0,4000;0,5000
15;3;1,0773;0,3740;1,3932;0,2384;0,8294;9,1667;2,6000;0,4000;0,5000
16;3;1,0773;0,3740;1,3932;0,2384;0,8294;9,1667;2,6000;0,4000;0,5000
17;3;1,0773;0,3740;1,3932;0,2384;0,8294;9,1667;2,6000;0,4000;0,5000
18;3;1,0773;0,3740;1,3932;0,2384;0,8294;12,2222;2,6000;0,4000;0,5000
19;3;1,0773;0,3740;1,3932;0,2384;0,8294;12,2222;2,6000;0,4000;0,5000
20;3;1,0773;0,3740;1,3932;0,2384;0,8294;12,2222;2,6000;0,4000;0,5000
21;3;1,0773;0,3740;1,3932;0,2384;0,8294;12,2222;2,6000;0,4000;0,5000
22;4;1,0773;0,3740;1,3932;0,2384;0,8294;12,2222;2,6000;0,4000;0,5000
23;4;1,0773;0,3740;1,3932;0,2384;0,8294;12,2222;2,6000;0,4000;0,5000
24;4;1,0773;0,3740;1,3932;0,2384;0,8294;12,2222;2,6000;0,4000;0,5000
25;4;1,0773;0,3740;1,3932;0,2384;0,8294;12,2222;2,6000;0,4000;0,5000
26;4;1,0773;0,3740;1,3932;0,2384;0,8294;12,2222;2,6000;0,4000;0,5000
27;4;1,0773;0,3740;1,3932;0,2384;0,8294;12,2222;2,6000;0,4000;0,5000
28;4;1,0773;0,3740;1,3932;0,2384;0,8294;12,2222;2,6000;0,4000;0,5000
29;5;1,5296;0,5310;1,9782;0,3386;1,1777;12,2222;2,6000;0,4000;0,5000
30;5;1,5296;0,5310;1,9782;0,3386;1,1777;12,2222;2,6000;0,4000;0,5000
31;5;1,5296;0,5310;1,9782;0,3386;1,1777;12,2222;2,6000;0,4000;0,5000
32;5;1,5296;0,5310;1,9782;0,3386;1,1777;12,2222;2,6000;0,4000;0,5000
33;5;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
34;5;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
35;5;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
36;6;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
37;6;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
38;6;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
39;6;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
40;6;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
41;6;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
42;6;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
43;7;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
44;7;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
45;7;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
46;7;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
47;7;1,5296;0,5310;1,9782;0,3386;1,1777;17,3149;2,6000;0,4000;0,5000
48;7;1,5296;0,5310;1,9782;0,3386;1,1777;23,4260;2,6000;0,4000;0,5000
49;7;1,5296;0,5310;1,9782;0,3386;1,1777;23,4260;2,6000;0,4000;0,5000
50;8;1,5296;0,6478;1,9782;0,3386;1,1777;23,4260;2,6000;0,4000;0,5000
51;8;1,5296;0,6478;1,9782;0,3386;1,1777;23,4260;2,6000;0,4000;0,5000
52;8;1,5296;0,6478;1,9782;0,3386;1,1777;23,4260;2,6000;0,4000;0,5000
53;8;1,5296;0,6478;1,9782;0,3386;1,1777;23,4260;2,6000;0,4000;0,5000
54;8;1,5296;0,6478;1,9782;0,3386;1,1777;23,4260;2,6000;0,4000;0,5000
55;8;1,5296;0,6478;1,9782;0,3386;1,1777;23,4260;2,6000;0,4000;0,5000
56;8;1,5296;0,6478;1,9782;0,3386;1,1777;23,4260;2,6000;0,4000;0,5000
