Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;2,7979;3,5410;3,6184;0,6193;2,1542;5,0926;2,6000;0,4000;0,5000
2;1;2,7979;3,5410;3,6184;0,6193;2,1542;5,0926;2,6000;0,4000;0,5000
3;1;2,7979;3,5410;3,6184;0,6193;2,1542;5,0926;2,6000;0,4000;0,5000
4;1;2,7979;3,5410;3,6184;0,6193;2,1542;5,0926;2,6000;0,4000;0,5000
5;1;2,7979;3,5410;3,6184;0,6193;2,1542;5,0926;2,6000;0,4000;0,5000
6;1;2,7979;3,5410;3,6184;0,6193;2,1542;5,0926;2,6000;0,4000;0,5000
7;1;2,7979;3,5410;3,6184;0,6193;2,1542;5,0926;2,6000;0,4000;0,5000
8;2;2,7979;3,5410;3,6184;0,6193;2,1542;5,0926;2,6000;0,4000;0,5000
9;2;2,7979;3,5410;3,6184;0,6193;2,1542;5,0926;2,6000;0,4000;0,5000
10;2;2,7979;3,5410;3,6184;0,6193;2,1542;5,0926;2,6000;0,4000;0,5000
11;2;2,7979;3,5410;3,6184;0,6193;2,1542;9,1667;2,6000;0,4000;0,5000
12;2;2,7979;3,5410;3,6184;0,6193;2,1542;9,1667;2,6000;0,4000;0,5000
13;2;2,7979;3,5410;3,6184;0,6193;2,1542;9,1667;2,6000;0,4000;0,5000
14;2;2,7979;3,5410;3,6184;0,6193;2,1542;9,1667;2,6000;0,4000;0,5000
15;3;3,8740;4,4981;5,4277;0,9290;3,2312;9,1667;2,4000;0,4000;0,5000
16;3;3,8740;4,4981;5,4277;0,9290;3,2312;9,1667;2,4000;0,4000;0,5000
17;3;3,8740;4,4981;5,4277;0,9290;3,2312;9,1667;2,4000;0,4000;0,5000
18;3;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
19;3;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
20;3;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
21;3;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
22;4;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
23;4;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
24;4;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
25;4;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
26;4;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
27;4;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
28;4;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
29;5;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
30;5;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
31;5;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
32;5;3,8740;4,4981;5,4277;0,9290;3,2312;12,2222;2,4000;0,4000;0,5000
33;5;3,8740;4,4981;5,4277;0,9290;3,2312;17,3149;2,4000;0,4000;0,5000
34;5;3,8740;4,4981;5,4277;0,9290;3,2312;17,3149;2,4000;0,4000;0,5000
35;5;3,8740;4,4981;5,4277;0,9290;3,2312;17,3149;2,4000;0,4000;0,5000
36;6;3,8740;4,4981;5,4277;0,9290;3,2312;17,3149;2,4000;0,4000;0,5000
37;6;3,8740;4,4981;5,4277;0,9290;3,2312;17,3149;2,4000;0,4000;0,5000
38;6;3,8740;4,4981;5,4277;0,9290;3,2312;17,3149;2,4000;0,4000;0,5000
39;6;3,8740;4,4981;5,4277;0,9290;3,2312;17,3149;2,4000;0,4000;0,5000
40;6;3,8740;4,4981;5,4277;0,9290;3,2312;17,3149;2,4000;0,4000;0,5000
41;6;3,8740;4,4981;5,4277;0,9290;3,2312;17,3149;2,4000;0,4000;0,5000
42;6;3,8740;4,4981;5,4277;0,9290;3,2312;17,3149;2,4000;0,4000;0,5000
43;7;4,9501;2,7020;7,2369;1,2386;4,3083;17,3149;2,3000;0,4000;0,5000
44;7;4,9501;2,7020;7,2369;1,2386;4,3083;17,3149;2,3000;0,4000;0,5000
45;7;4,9501;2,7020;7,2369;1,2386;4,3083;17,3149;2,3000;0,4000;0,5000
46;7;4,9501;2,7020;7,2369;1,2386;4,3083;17,3149;2,3000;0,4000;0,5000
47;7;4,9501;2,7020;7,2369;1,2386;4,3083;17,3149;2,3000;0,4000;0,5000
48;7;4,9501;2,7020;7,2369;1,2386;4,3083;23,4260;2,3000;0,4000;0,5000
49;7;4,9501;2,7020;7,2369;1,2386;4,3083;23,4260;2,3000;0,4000;0,5000
50;8;4,9501;2,7020;7,2369;1,2386;4,3083;23,4260;2,3000;0,4000;0,5000
51;8;4,9501;2,7020;7,2369;1,2386;4,3083;23,4260;2,3000;0,4000;0,5000
52;8;4,9501;2,7020;7,2369;1,2386;4,3083;23,4260;2,3000;0,4000;0,5000
53;8;4,9501;2,7020;7,2369;1,2386;4,3083;23,4260;2,3000;0,4000;0,5000
54;8;4,9501;2,7020;7,2369;1,2386;4,3083;23,4260;2,3000;0,4000;0,5000
55;8;4,9501;2,7020;7,2369;1,2386;4,3083;23,4260;2,3000;0,4000;0,5000
56;8;4,9501;2,7020;7,2369;1,2386;4,3083;23,4260;2,3000;0,4000;0,5000
57;9;4,5197;2,7020;7,2369;1,2386;4,3083;23,4260;2,1000;0,4000;0,5000
58;9;4,5197;2,7020;7,2369;1,2386;4,3083;23,4260;2,1000;0,4000;0,5000
59;9;4,5197;2,7020;7,2369;1,2386;4,3083;23,4260;2,1000;0,4000;0,5000
60;9;4,5197;2,7020;7,2369;1,2386;4,3083;23,4260;2,1000;0,4000;0,5000
61;9;4,5197;2,7020;7,2369;1,2386;4,3083;23,4260;2,1000;0,4000;0,5000
62;9;4,5197;2,7020;7,2369;1,2386;4,3083;23,4260;2,1000;0,4000;0,5000
