Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;0,9305;0,6216;1,5645;0,2678;0,9314;5,0926;2,0000;0,4000;0,5000
2;1;0,9305;0,6216;1,5645;0,2678;0,9314;5,0926;2,0000;0,4000;0,5000
3;1;0,9305;0,6216;1,5645;0,2678;0,9314;5,0926;2,0000;0,4000;0,5000
4;1;0,9305;0,6216;1,5645;0,2678;0,9314;5,0926;2,0000;0,4000;0,5000
5;1;0,9305;0,6216;1,5645;0,2678;0,9314;5,0926;2,0000;0,4000;0,5000
6;1;0,9305;0,6216;1,5645;0,2678;0,9314;5,0926;2,0000;0,4000;0,5000
7;1;0,9305;0,6216;1,5645;0,2678;0,9314;5,0926;2,0000;0,4000;0,5000
8;2;0,9305;0,6216;1,5645;0,2678;0,9314;5,0926;2,0000;0,4000;0,5000
9;2;0,9305;0,6216;1,5645;0,2678;0,9314;5,0926;2,0000;0,4000;0,5000
10;2;0,9305;0,6216;1,5645;0,2678;0,9314;5,0926;2,0000;0,4000;0,5000
11;2;1,4889;0,9946;2,5031;0,4284;1,4902;9,1667;2,0000;0,4000;0,5000
12;2;1,4889;0,9946;2,5031;0,4284;1,4902;9,1667;2,0000;0,4000;0,5000
13;2;1,4889;0,9946;2,5031;0,4284;1,4902;9,1667;2,0000;0,4000;0,5000
14;2;1,4889;0,9946;2,5031;0,4284;1,4902;9,1667;2,0000;0,4000;0,5000
15;3;1,4889;0,9946;2,5031;0,4284;1,4902;9,1667;2,0000;0,4000;0,5000
16;3;1,4889;0,9946;2,5031;0,4284;1,4902;9,1667;2,0000;0,4000;0,5000
17;3;1,4889;0,9946;2,5031;0,4284;1,4902;9,1667;2,0000;0,4000;0,5000
18;3;2,0472;1,3676;3,4418;0,5891;2,0490;12,2222;2,0000;0,4000;0,5000
19;3;2,0472;1,3676;3,4418;0,5891;2,0490;12,2222;2,0000;0,4000;0,5000
20;3;2,0472;1,3676;3,4418;0,5891;2,0490;12,2222;2,0000;0,4000;0,5000
21;3;2,0472;1,3676;3,4418;0,5891;2,0490;12,2222;2,0000;0,4000;0,5000
22;4;2,0472;1,3676;3,4418;0,5891;2,0490;12,2222;2,0000;0,4000;0,5000
23;4;2,0472;1,3676;3,4418;0,5891;2,0490;12,2222;2,0000;0,4000;0,5000
24;4;2,0472;1,3676;3,4418;0,5891;2,0490;12,2222;2,0000;0,4000;0,5000
25;4;2,0472;1,3676;3,4418;0,5891;2,0490;12,2222;2,0000;0,4000;0,5000
26;4;2,0472;1,3676;3,4418;0,5891;2,0490;12,2222;2,0000;0,4000;0,5000
27;4;2,0472;1,3676;3,4418;0,5891;2,0490;12,2222;2,0000;0,4000;0,5000
28;4;2,0472;1,3676;3,4418;0,5891;2,0490;12,2222;2,0000;0,4000;0,5000
29;5;2,0472;1,3676;3,4418;0,5891;2,0490;12,2222;2,0000;0,4000;0,5000
30;5;2,0472;1,3676;3,4418;0,5891;2,0490;12,2222;2,0000;0,4000;0,5000
31;5;1,7692;1,3676;3,4418;0,5891;2,0490;12,2222;1,7285;0,4000;0,5000
32;5;1,7692;1,3676;3,4418;0,5891;2,0490;12,2222;1,7285;0,4000;0,5000
