Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;1,9557;2,2103;1,8250;0,3124;1,0865;5,0926;3,6033;0,4000;0,5000
2;1;1,9557;2,2103;1,8250;0,3124;1,0865;5,0926;3,6033;0,4000;0,5000
3;1;1,9557;2,2103;1,8250;0,3124;1,0865;5,0926;3,6033;0,4000;0,5000
4;1;1,9557;2,2103;1,8250;0,3124;1,0865;5,0926;3,6033;0,4000;0,5000
5;1;1,9557;2,2103;1,8250;0,3124;1,0865;5,0926;3,6033;0,4000;0,5000
6;1;1,9557;2,2103;1,8250;0,3124;1,0865;5,0926;3,6033;0,4000;0,5000
7;1;1,9557;2,2103;1,8250;0,3124;1,0865;5,0926;3,6033;0,4000;0,5000
8;2;1,9557;2,2103;1,8250;0,3124;1,0865;5,0926;3,6033;0,4000;0,5000
9;2;1,9557;2,2103;1,8250;0,3124;1,0865;5,0926;3,6033;0,4000;0,5000
10;2;1,9557;2,2103;1,8250;0,3124;1,0865;5,0926;3,6033;0,4000;0,5000
11;2;1,9557;2,2103;1,8250;0,3124;1,0865;9,1667;3,6033;0,4000;0,5000
12;2;1,9557;2,2103;1,8250;0,3124;1,0865;9,1667;3,6033;0,4000;0,5000
13;2;1,9557;2,2103;1,8250;0,3124;1,0865;9,1667;3,6033;0,4000;0,5000
14;2;1,9557;2,2103;1,8250;0,3124;1,0865;9,1667;3,6033;0,4000;0,5000
15;3;3,9970;2,2103;4,2000;0,7188;2,5004;9,1667;3,2000;0,4000;0,5000
16;3;3,9970;2,2103;4,2000;0,7188;2,5004;9,1667;3,2000;0,4000;0,5000
17;3;3,9970;2,2103;4,2000;0,7188;2,5004;9,1667;3,2000;0,4000;0,5000
18;3;3,9970;2,2103;4,2000;0,7188;2,5004;12,2222;3,2000;0,4000;0,5000
19;3;3,9970;2,2103;4,2000;0,7188;2,5004;12,2222;3,2000;0,4000;0,5000
20;3;3,9970;2,2103;4,2000;0,7188;2,5004;12,2222;3,2000;0,4000;0,5000
21;3;3,9970;2,2103;4,2000;0,7188;2,5004;12,2222;3,2000;0,4000;0,5000
22;4;3,9970;2,2103;4,2000;0,7188;2,5004;12,2222;3,2000;0,4000;0,5000
23;4;3,9970;2,2103;4,2000;0,7188;2,5004;12,2222;3,2000;0,4000;0,5000
24;4;3,9970;2,2103;4,2000;0,7188;2,5004;12,2222;3,2000;0,4000;0,5000
25;4;3,9970;2,2103;4,2000;0,7188;2,5004;12,2222;3,2000;0,4000;0,5000
26;4;3,9970;2,2103;4,2000;0,7188;2,5004;12,2222;3,2000;0,4000;0,5000
27;4;3,9970;2,2103;4,2000;0,7188;2,5004;12,2222;3,2000;0,4000;0,5000
28;4;3,9970;2,2103;4,2000;0,7188;2,5004;12,2222;3,2000;0,4000;0,5000
29;5;4,3063;1,5201;4,5250;0,7745;2,6939;12,2222;3,2000;0,4000;0,5000
30;5;4,3063;1,5201;4,5250;0,7745;2,6939;12,2222;3,2000;0,4000;0,5000
31;5;4,3063;1,5201;4,5250;0,7745;2,6939;12,2222;3,2000;0,4000;0,5000
32;5;4,3063;1,5201;4,5250;0,7745;2,6939;12,2222;3,2000;0,4000;0,5000
33;5;4,3063;1,5201;4,5250;0,7745;2,6939;17,3149;3,2000;0,4000;0,5000
34;5;4,3063;1,5201;4,5250;0,7745;2,6939;17,3149;3,2000;0,4000;0,5000
35;5;4,3063;1,5201;4,5250;0,7745;2,6939;17,3149;3,2000;0,4000;0,5000
36;6;4,9719;1,5201;5,2212;0,8936;3,1083;17,3149;3,2020;0,4000;0,5000
37;6;4,9719;1,5201;5,2212;0,8936;3,1083;17,3149;3,2020;0,4000;0,5000
38;6;4,9719;1,5201;5,2212;0,8936;3,1083;17,3149;3,2020;0,4000;0,5000
39;6;4,9719;1,5201;5,2212;0,8936;3,1083;17,3149;3,2020;0,4000;0,5000
40;6;4,9719;1,5201;5,2212;0,8936;3,1083;17,3149;3,2020;0,4000;0,5000
41;6;4,9719;1,5201;5,2212;0,8936;3,1083;17,3149;3,2020;0,4000;0,5000
42;6;4,9719;1,5201;5,2212;0,8936;3,1083;17,3149;3,2020;0,4000;0,5000
43;7;3,9586;1,5201;5,2212;0,8936;3,1083;17,3149;2,5494;0,4000;0,5000
44;7;3,9586;1,5201;5,2212;0,8936;3,1083;17,3149;2,5494;0,4000;0,5000
45;7;3,9586;1,5201;5,2212;0,8936;3,1083;17,3149;2,5494;0,4000;0,5000
46;7;3,9586;1,5201;5,2200;0,8934;3,1076;17,3149;2,5500;0,4000;0,5000
47;7;3,9586;1,5201;5,2200;0,8934;3,1076;17,3149;2,5500;0,4000;0,5000
48;7;3,9586;1,5201;5,2200;0,8934;3,1076;23,4260;2,5500;0,4000;0,5000
49;7;3,9586;1,5201;5,2200;0,8934;3,1076;23,4260;2,5500;0,4000;0,5000
50;8;3,7000;1,5201;4,8790;0,8350;2,9046;23,4260;2,5500;0,4000;0,5000
51;8;3,7000;1,5201;4,8790;0,8350;2,9046;23,4260;2,5500;0,4000;0,5000
52;8;3,7000;1,5201;4,8790;0,8350;2,9046;23,4260;2,5500;0,4000;0,5000
53;8;3,7000;1,5201;4,8790;0,8350;2,9046;23,4260;2,5500;0,4000;0,5000
54;8;3,7000;1,5201;4,8790;0,8350;2,9046;23,4260;2,5500;0,4000;0,5000
55;8;3,7000;1,5201;4,8790;0,8350;2,9046;23,4260;2,5500;0,4000;0,5000
56;8;3,7000;1,5201;4,8790;0,8350;2,9046;23,4260;2,5500;0,4000;0,5000
57;9;3,7000;1,5201;4,8790;0,8350;2,9046;23,4260;2,5500;0,4000;0,5000
58;9;3,7000;1,5201;4,8790;0,8350;2,9046;23,4260;2,5500;0,4000;0,5000
59;9;3,7000;1,5201;4,8790;0,8350;2,9046;23,4260;2,5500;0,4000;0,5000
60;9;3,7000;1,5201;4,8790;0,8350;2,9046;23,4260;2,5500;0,4000;0,5000
61;9;3,7000;1,5201;4,8790;0,8350;2,9046;23,4260;2,5500;0,4000;0,5000
62;9;3,7000;1,5201;4,8790;0,8350;2,9046;23,4260;2,5500;0,4000;0,5000
63;9;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
64;10;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
65;10;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
66;10;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
67;10;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
68;10;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
69;10;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
70;10;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
71;11;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
72;11;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
73;11;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
74;11;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
75;11;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
76;11;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
77;11;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
78;12;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
79;12;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
80;12;3,7000;1,5201;4,8790;0,8350;2,9046;29,5372;2,5500;0,4000;0,5000
81;12;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
82;12;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
83;12;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
84;12;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
85;13;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
86;13;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
87;13;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
88;13;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
89;13;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
90;13;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
91;13;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
92;14;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
93;14;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
94;14;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
95;14;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
96;14;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
97;14;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
98;14;3,7000;1,5201;4,8790;0,8350;2,9046;35,6483;2,5500;0,4000;0,5000
