Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;0,8075;1,1179;1,2333;0,2111;0,7342;5,0926;2,2017;0,4000;0,5000
2;1;0,8075;1,1179;1,2333;0,2111;0,7342;5,0926;2,2017;0,4000;0,5000
3;1;0,8075;1,1179;1,2333;0,2111;0,7342;5,0926;2,2017;0,4000;0,5000
4;1;0,8075;1,1179;1,2333;0,2111;0,7342;5,0926;2,2017;0,4000;0,5000
5;1;0,8075;1,1179;1,2333;0,2111;0,7342;5,0926;2,2017;0,4000;0,5000
6;1;0,8075;1,1179;1,2333;0,2111;0,7342;5,0926;2,2017;0,4000;0,5000
7;1;0,8075;1,1179;1,2333;0,2111;0,7342;5,0926;2,2017;0,4000;0,5000
8;2;0,8075;1,1179;1,2333;0,2111;0,7342;5,0926;2,2017;0,4000;0,5000
9;2;0,8075;1,1179;1,2333;0,2111;0,7342;5,0926;2,2017;0,4000;0,5000
10;2;0,8075;1,1179;1,2333;0,2111;0,7342;5,0926;2,2017;0,4000;0,5000
11;2;0,8075;1,1179;1,2333;0,2111;0,7342;9,1667;2,2017;0,4000;0,5000
12;2;0,8075;1,1179;1,2333;0,2111;0,7342;9,1667;2,2017;0,4000;0,5000
13;2;0,8075;1,1179;1,2333;0,2111;0,7342;9,1667;2,2017;0,4000;0,5000
14;2;0,8075;1,1179;1,2333;0,2111;0,7342;9,1667;2,2017;0,4000;0,5000
15;3;2,0215;2,7985;3,0874;0,5284;1,8380;9,1667;2,2017;0,4000;0,5000
16;3;2,0215;2,7985;3,0874;0,5284;1,8380;9,1667;2,2017;0,4000;0,5000
17;3;2,0215;2,7985;3,0874;0,5284;1,8380;9,1667;2,2017;0,4000;0,5000
18;3;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
19;3;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
20;3;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
21;3;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
22;4;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
23;4;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
24;4;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
25;4;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
26;4;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
27;4;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
28;4;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
29;5;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
30;5;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
31;5;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
32;5;2,0215;2,7985;3,0874;0,5284;1,8380;12,2222;2,2017;0,4000;0,5000
33;5;2,0215;2,7985;3,0874;0,5284;1,8380;17,3149;2,2017;0,4000;0,5000
34;5;2,0215;2,7985;3,0874;0,5284;1,8380;17,3149;2,2017;0,4000;0,5000
35;5;2,0215;2,7985;3,0874;0,5284;1,8380;17,3149;2,2017;0,4000;0,5000
36;6;2,0215;2,7985;3,0874;0,5284;1,8380;17,3149;2,2017;0,4000;0,5000
37;6;2,0215;2,7985;3,0874;0,5284;1,8380;17,3149;2,2017;0,4000;0,5000
38;6;2,0215;2,7985;3,0874;0,5284;1,8380;17,3149;2,2017;0,4000;0,5000
39;6;2,0215;2,7985;3,0874;0,5284;1,8380;17,3149;2,2017;0,4000;0,5000
40;6;2,0215;2,7985;3,0874;0,5284;1,8380;17,3149;2,2017;0,4000;0,5000
41;6;2,0215;2,7985;3,0874;0,5284;1,8380;17,3149;2,2017;0,4000;0,5000
42;6;2,0215;2,7985;3,0874;0,5284;1,8380;17,3149;2,2017;0,4000;0,5000
