Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;0,9330;0,5183;1,2067;0,2065;0,7184;5,0926;2,6000;0,4000;0,5000
2;1;0,9330;0,5183;1,2067;0,2065;0,7184;5,0926;2,6000;0,4000;0,5000
3;1;0,9330;0,5183;1,2067;0,2065;0,7184;5,0926;2,6000;0,4000;0,5000
4;1;0,9330;0,5183;1,2067;0,2065;0,7184;5,0926;2,6000;0,4000;0,5000
5;1;0,9330;0,5183;1,2067;0,2065;0,7184;5,0926;2,6000;0,4000;0,5000
6;1;0,9330;0,5183;1,2067;0,2065;0,7184;5,0926;2,6000;0,4000;0,5000
7;1;0,9330;0,5183;1,2067;0,2065;0,7184;5,0926;2,6000;0,4000;0,5000
8;2;0,9330;0,5183;1,2067;0,2065;0,7184;5,0926;2,6000;0,4000;0,5000
9;2;0,9330;0,5183;1,2067;0,2065;0,7184;5,0926;2,6000;0,4000;0,5000
10;2;0,9330;0,5183;1,2067;0,2065;0,7184;5,0926;2,6000;0,4000;0,5000
11;2;1,0258;0,5698;1,3267;0,2271;0,7898;9,1667;2,6000;0,4000;0,5000
12;2;1,0258;0,5698;1,3267;0,2271;0,7898;9,1667;2,6000;0,4000;0,5000
13;2;1,0258;0,5698;1,3267;0,2271;0,7898;9,1667;2,6000;0,4000;0,5000
14;2;1,0258;0,5698;1,3267;0,2271;0,7898;9,1667;2,6000;0,4000;0,5000
15;3;1,0258;0,5698;1,3267;0,2271;0,7898;9,1667;2,6000;0,4000;0,5000
16;3;1,0258;0,5698;1,3267;0,2271;0,7898;9,1667;2,6000;0,4000;0,5000
17;3;1,0258;0,5698;1,3267;0,2271;0,7898;9,1667;2,6000;0,4000;0,5000
18;3;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
19;3;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
20;3;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
21;3;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
22;4;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
23;4;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
24;4;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
25;4;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
26;4;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
27;4;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
28;4;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
29;5;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
30;5;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
31;5;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
32;5;1,0258;0,5698;1,3267;0,2271;0,7898;12,2222;2,6000;0,4000;0,5000
33;5;1,0258;0,5698;1,3267;0,2271;0,7898;17,3149;2,6000;0,4000;0,5000
34;5;1,0258;0,5698;1,3267;0,2271;0,7898;17,3149;2,6000;0,4000;0,5000
35;5;1,0258;0,5698;1,3267;0,2271;0,7898;17,3149;2,6000;0,4000;0,5000
36;6;1,0258;0,5698;1,3267;0,2271;0,7898;17,3149;2,6000;0,4000;0,5000
37;6;1,0258;0,5698;1,3267;0,2271;0,7898;17,3149;2,6000;0,4000;0,5000
38;6;1,0258;0,5698;1,3267;0,2271;0,7898;17,3149;2,6000;0,4000;0,5000
39;6;1,1191;0,5698;1,4473;0,2477;0,8616;17,3149;2,6000;0,4000;0,5000
40;6;1,1191;0,5698;1,4473;0,2477;0,8616;17,3149;2,6000;0,4000;0,5000
41;6;1,1191;0,5698;1,4473;0,2477;0,8616;17,3149;2,6000;0,4000;0,5000
42;6;1,1191;0,5698;1,4473;0,2477;0,8616;17,3149;2,6000;0,4000;0,5000
43;7;1,1191;0,5698;1,4473;0,2477;0,8616;17,3149;2,6000;0,4000;0,5000
44;7;1,1191;0,5698;1,4473;0,2477;0,8616;17,3149;2,6000;0,4000;0,5000
45;7;1,1191;0,5698;1,4473;0,2477;0,8616;17,3149;2,6000;0,4000;0,5000
46;7;1,1191;0,7060;1,4473;0,2477;0,8616;17,3149;2,6000;0,4000;0,5000
47;7;1,1191;0,7060;1,4473;0,2477;0,8616;17,3149;2,6000;0,4000;0,5000
48;7;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
49;7;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
50;8;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
51;8;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
52;8;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
53;8;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
54;8;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
55;8;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
56;8;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
57;9;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
58;9;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
59;9;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
60;9;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
61;9;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
62;9;1,1191;0,7060;1,4473;0,2477;0,8616;23,4260;2,6000;0,4000;0,5000
63;9;1,1191;0,7060;1,4473;0,2477;0,8616;29,5372;2,6000;0,4000;0,5000
64;10;1,1191;0,7060;1,4473;0,2477;0,8616;29,5372;2,6000;0,4000;0,5000
65;10;1,1191;0,7060;1,4473;0,2477;0,8616;29,5372;2,6000;0,4000;0,5000
66;10;1,1191;0,7060;1,4473;0,2477;0,8616;29,5372;2,6000;0,4000;0,5000
67;10;1,1191;0,7060;1,4473;0,2477;0,8616;29,5372;2,6000;0,4000;0,5000
68;10;1,1191;0,7060;1,4473;0,2477;0,8616;29,5372;2,6000;0,4000;0,5000
69;10;1,1191;0,7060;1,4473;0,2477;0,8616;29,5372;2,6000;0,4000;0,5000
70;10;1,1191;0,7060;1,4473;0,2477;0,8616;29,5372;2,6000;0,4000;0,5000
71;11;1,1191;0,7060;1,4473;0,2477;0,8616;29,5372;2,6000;0,4000;0,5000
72;11;1,1191;0,7060;1,4473;0,2477;0,8616;29,5372;2,6000;0,4000;0,5000
73;11;1,1191;0,7060;1,4473;0,2477;0,8616;29,5372;2,6000;0,4000;0,5000
74;11;1,3866;0,7060;1,7933;0,3069;1,0676;29,5372;2,6000;0,4000;0,5000
75;11;1,3866;0,7060;1,7933;0,3069;1,0676;29,5372;2,6000;0,4000;0,5000
76;11;1,3866;0,7060;1,7933;0,3069;1,0676;29,5372;2,6000;0,4000;0,5000
77;11;1,3866;0,7060;1,7933;0,3069;1,0676;29,5372;2,6000;0,4000;0,5000
78;12;1,3866;0,7060;1,7933;0,3069;1,0676;29,5372;2,6000;0,4000;0,5000
79;12;1,3866;0,7060;1,7933;0,3069;1,0676;29,5372;2,6000;0,4000;0,5000
80;12;1,3866;0,7060;1,7933;0,3069;1,0676;29,5372;2,6000;0,4000;0,5000
81;12;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
82;12;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
83;12;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
84;12;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
85;13;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
86;13;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
87;13;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
88;13;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
89;13;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
90;13;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
91;13;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
92;14;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
93;14;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
94;14;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
95;14;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
96;14;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
97;14;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
98;14;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
99;15;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
100;15;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
101;15;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
102;15;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
103;15;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
104;15;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
105;15;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
106;16;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
107;16;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
108;16;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
109;16;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
110;16;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
111;16;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
112;16;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
113;17;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
114;17;1,3866;0,7060;1,7933;0,3069;1,0676;35,6483;2,6000;0,4000;0,5000
