Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;0,9900;0,2750;0,8250;0,1694;0,2947;5,0926;4,0350;0,8000;0,3000
2;1;0,9900;0,2750;0,8250;0,1694;0,2947;5,0926;4,0350;0,8000;0,3000
3;1;0,9900;0,2750;0,8250;0,1694;0,2947;5,0926;4,0350;0,8000;0,3000
4;1;0,9900;0,2750;0,8250;0,1694;0,2947;5,0926;4,0350;0,8000;0,3000
5;1;0,9900;0,2750;0,8250;0,1694;0,2947;5,0926;4,0350;0,8000;0,3000
6;1;0,9900;0,2750;0,8250;0,1694;0,2947;5,0926;4,0350;0,8000;0,3000
7;1;0,9900;0,2750;0,8250;0,1694;0,2947;5,0926;4,0350;0,8000;0,3000
8;2;0,9900;0,2750;0,8250;0,1694;0,2947;5,0926;4,0350;0,8000;0,3000
9;2;0,9900;0,2750;0,8250;0,1694;0,2947;5,0926;4,0350;0,8000;0,3000
10;2;0,9900;0,2750;0,8250;0,1694;0,2947;5,0926;4,0350;0,8000;0,3000
11;2;0,9900;0,2750;0,8250;0,1694;0,2947;9,1667;4,0350;0,8000;0,3000
12;2;0,9900;0,2750;0,8250;0,1694;0,2947;9,1667;4,0350;0,8000;0,3000
13;2;0,9900;0,2750;0,8250;0,1694;0,2947;9,1667;4,0350;0,8000;0,3000
14;2;0,9900;0,2750;0,8250;0,1694;0,2947;9,1667;4,0350;0,8000;0,3000
15;3;0,9900;0,2750;0,8250;0,1694;0,2947;9,1667;4,0350;0,8000;0,3000
16;3;0,9900;0,2750;0,8250;0,1694;0,2947;9,1667;4,0350;0,8000;0,3000
17;3;0,9900;0,2750;0,8250;0,1694;0,2947;9,1667;4,0350;0,8000;0,3000
18;3;0,9900;0,2750;0,8250;0,1694;0,2947;12,2222;4,0350;0,8000;0,3000
19;3;0,9900;0,2750;0,8250;0,1694;0,2947;12,2222;4,0350;0,8000;0,3000
20;3;0,9900;0,2750;0,8250;0,1694;0,2947;12,2222;4,0350;0,8000;0,3000
21;3;0,9900;0,2750;0,8250;0,1694;0,2947;12,2222;4,0350;0,8000;0,3000
22;4;0,9900;0,2750;0,8250;0,1694;0,2947;12,2222;4,0350;0,8000;0,3000
23;4;0,9900;0,2750;0,8250;0,1694;0,2947;12,2222;4,0350;0,8000;0,3000
24;4;0,9900;0,2750;0,8250;0,1694;0,2947;12,2222;4,0350;0,8000;0,3000
25;4;0,9900;0,2750;0,8250;0,1694;0,2947;12,2222;4,0350;0,8000;0,3000
26;4;0,9900;0,2750;0,8250;0,1694;0,2947;12,2222;4,0350;0,8000;0,3000
