Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;1,8122;0,5114;2,7698;0,4740;1,6489;5,0926;2,2000;0,4000;0,5000
2;1;1,8122;0,5114;2,7698;0,4740;1,6489;5,0926;2,2000;0,4000;0,5000
3;1;1,8122;0,5114;2,7698;0,4740;1,6489;5,0926;2,2000;0,4000;0,5000
4;1;1,8122;0,5114;2,7698;0,4740;1,6489;5,0926;2,2000;0,4000;0,5000
5;1;1,8122;0,5114;2,7698;0,4740;1,6489;5,0926;2,2000;0,4000;0,5000
6;1;1,8122;0,5114;2,7698;0,4740;1,6489;5,0926;2,2000;0,4000;0,5000
7;1;1,8122;0,5114;2,7698;0,4740;1,6489;5,0926;2,2000;0,4000;0,5000
8;2;1,8122;0,5114;2,7698;0,4740;1,6489;5,0926;2,2000;0,4000;0,5000
9;2;1,8122;0,5114;2,7698;0,4740;1,6489;5,0926;2,2000;0,4000;0,5000
10;2;1,8122;0,5114;2,7698;0,4740;1,6489;5,0926;2,2000;0,4000;0,5000
11;2;3,1713;0,8950;4,8471;0,8296;2,8856;9,1667;2,2000;0,4000;0,5000
12;2;3,1713;0,8950;4,8471;0,8296;2,8856;9,1667;2,2000;0,4000;0,5000
13;2;3,1713;0,8950;4,8471;0,8296;2,8856;9,1667;2,2000;0,4000;0,5000
14;2;3,1713;0,8950;4,8471;0,8296;2,8856;9,1667;2,2000;0,4000;0,5000
15;3;3,1713;0,8950;4,8471;0,8296;2,8856;9,1667;2,2000;0,4000;0,5000
16;3;3,1713;0,8950;4,8471;0,8296;2,8856;9,1667;2,2000;0,4000;0,5000
17;3;3,1713;0,8950;4,8471;0,8296;2,8856;9,1667;2,2000;0,4000;0,5000
18;3;4,5304;1,2785;6,9244;1,1851;4,1223;12,2222;2,2000;0,4000;0,5000
19;3;4,5304;1,2785;6,9244;1,1851;4,1223;12,2222;2,2000;0,4000;0,5000
20;3;4,5304;1,2785;6,9244;1,1851;4,1223;12,2222;2,2000;0,4000;0,5000
21;3;4,5304;1,2785;6,9244;1,1851;4,1223;12,2222;2,2000;0,4000;0,5000
22;4;4,5304;1,2785;7,4560;1,2761;4,4387;12,2222;2,0432;0,4000;0,5000
23;4;4,5304;1,2785;7,4560;1,2761;4,4387;12,2222;2,0432;0,4000;0,5000
24;4;4,5304;1,2785;7,4560;1,2761;4,4387;12,2222;2,0432;0,4000;0,5000
25;4;4,5304;1,2785;7,4560;1,2761;4,4387;12,2222;2,0432;0,4000;0,5000
26;4;4,5304;1,2785;7,4560;1,2761;4,4387;12,2222;2,0432;0,4000;0,5000
27;4;4,5304;1,2785;7,4560;1,2761;4,4387;12,2222;2,0432;0,4000;0,5000
28;4;4,5304;1,2785;7,4560;1,2761;4,4387;12,2222;2,0432;0,4000;0,5000
29;5;4,5304;1,2785;7,4560;1,2761;4,4387;12,2222;2,0432;0,4000;0,5000
30;5;4,5304;1,2785;7,4560;1,2761;4,4387;12,2222;2,0432;0,4000;0,5000
31;5;4,5304;1,2785;7,4560;1,2761;4,4387;12,2222;2,0432;0,4000;0,5000
32;5;4,5304;1,2785;7,4560;1,2761;4,4387;12,2222;2,0432;0,4000;0,5000
33;5;7,2487;2,0457;11,9295;2,0418;7,1020;17,3149;2,0432;0,4000;0,5000
34;5;7,2487;2,0457;11,9295;2,0418;7,1020;17,3149;2,0432;0,4000;0,5000
35;5;7,2487;2,0457;11,9295;2,0418;7,1020;17,3149;2,0432;0,4000;0,5000
36;6;7,2487;2,0457;11,9295;2,0418;7,1020;17,3149;2,0432;0,4000;0,5000
37;6;7,2487;2,0457;11,9295;2,0418;7,1020;17,3149;2,0432;0,4000;0,5000
38;6;7,2487;2,0457;11,9295;2,0418;7,1020;17,3149;2,0432;0,4000;0,5000
39;6;7,2487;2,0457;11,9295;2,0418;7,1020;17,3149;2,0432;0,4000;0,5000
40;6;7,2487;2,0457;11,9295;2,0418;7,1020;17,3149;2,0432;0,4000;0,5000
41;6;7,2487;2,0457;11,9295;2,0418;7,1020;17,3149;2,0432;0,4000;0,5000
42;6;7,2487;2,0457;11,9295;2,0418;7,1020;17,3149;2,0432;0,4000;0,5000
43;7;7,2487;2,0457;14,3155;2,4501;8,5224;17,3149;1,7026;0,4000;0,5000
44;7;7,2487;2,0457;14,3155;2,4501;8,5224;17,3149;1,7026;0,4000;0,5000
45;7;7,2487;2,0457;14,3155;2,4501;8,5224;17,3149;1,7026;0,4000;0,5000
46;7;7,2487;2,0457;14,3155;2,4501;8,5224;17,3149;1,7026;0,4000;0,5000
47;7;7,2487;2,0457;14,3155;2,4501;8,5224;17,3149;1,7026;0,4000;0,5000
48;7;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
49;7;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
50;8;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
51;8;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
52;8;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
53;8;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
54;8;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
55;8;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
56;8;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
57;9;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
58;9;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
59;9;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
60;9;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
61;9;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
62;9;9,9669;2,8128;19,6838;3,3689;11,7183;23,4260;1,7026;0,4000;0,5000
63;9;9,9669;2,8128;19,6838;3,3689;11,7183;29,5372;1,7026;0,4000;0,5000
64;10;9,9669;2,8128;19,6838;3,3689;11,7183;29,5372;1,7026;0,4000;0,5000
65;10;9,9669;2,8128;19,6838;3,3689;11,7183;29,5372;1,7026;0,4000;0,5000
66;10;9,9669;2,8128;19,6838;3,3689;11,7183;29,5372;1,7026;0,4000;0,5000
67;10;9,9669;2,8128;19,6838;3,3689;11,7183;29,5372;1,7026;0,4000;0,5000
68;10;9,9669;2,8128;19,6838;3,3689;11,7183;29,5372;1,7026;0,4000;0,5000
69;10;9,9669;2,8128;19,6838;3,3689;11,7183;29,5372;1,7026;0,4000;0,5000
70;10;9,9669;2,8128;19,6838;3,3689;11,7183;29,5372;1,7026;0,4000;0,5000
