Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;1,3151;0,5397;1,4521;0,2485;0,4322;5,0926;3,0453;0,8000;0,2500
2;1;1,3151;0,5397;1,4521;0,2485;0,4322;5,0926;3,0453;0,8000;0,2500
3;1;1,3151;0,5397;1,4521;0,2485;0,4322;5,0926;3,0453;0,8000;0,2500
4;1;1,3151;0,5397;1,4521;0,2485;0,4322;5,0926;3,0453;0,8000;0,2500
5;1;1,3151;0,5397;1,4521;0,2485;0,4322;5,0926;3,0453;0,8000;0,2500
6;1;1,3151;0,5397;1,4521;0,2485;0,4322;5,0926;3,0453;0,8000;0,2500
7;1;1,3151;0,5397;1,4521;0,2485;0,4322;5,0926;3,0453;0,8000;0,2500
8;2;1,3151;0,5397;1,4521;0,2485;0,4322;5,0926;3,0453;0,8000;0,2500
9;2;1,3151;0,5397;1,4521;0,2485;0,4322;5,0926;3,0453;0,8000;0,2500
10;2;1,3151;0,5397;1,4521;0,2485;0,4322;5,0926;3,0453;0,8000;0,2500
11;2;1,3151;0,5397;1,4521;0,2485;0,4322;9,1667;3,0453;0,8000;0,2500
12;2;1,3151;0,5397;1,4521;0,2485;0,4322;9,1667;3,0453;0,8000;0,2500
13;2;1,3151;0,5397;1,4521;0,2485;0,4322;9,1667;3,0453;0,8000;0,2500
14;2;1,3151;0,5397;1,4521;0,2485;0,4322;9,1667;3,0453;0,8000;0,2500
15;3;1,3151;0,5397;1,4521;0,2485;0,4322;9,1667;3,0453;0,8000;0,2500
16;3;1,3151;0,5397;1,4521;0,2485;0,4322;9,1667;3,0453;0,8000;0,2500
17;3;1,3151;0,5397;1,4521;0,2485;0,4322;9,1667;3,0453;0,8000;0,2500
18;3;1,3151;0,5397;1,4521;0,2485;0,4322;12,2222;3,0453;0,8000;0,2500
19;3;1,3151;0,5397;1,4521;0,2485;0,4322;12,2222;3,0453;0,8000;0,2500
20;3;1,3151;0,5397;1,4521;0,2485;0,4322;12,2222;3,0453;0,8000;0,2500
21;3;1,3151;0,5397;1,4521;0,2485;0,4322;12,2222;3,0453;0,8000;0,2500
