Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;9,2415;2,1360;7,0755;1,2110;4,2122;5,0926;4,3919;0,4000;0,5000
2;1;9,2415;2,1360;7,0755;1,2110;4,2122;5,0926;4,3919;0,4000;0,5000
3;1;9,2415;2,1360;7,0755;1,2110;4,2122;5,0926;4,3919;0,4000;0,5000
4;1;9,2415;2,1360;7,0755;1,2110;4,2122;5,0926;4,3919;0,4000;0,5000
5;1;9,2415;2,1360;7,0755;1,2110;4,2122;5,0926;4,3919;0,4000;0,5000
6;1;9,2415;2,1360;7,0755;1,2110;4,2122;5,0926;4,3919;0,4000;0,5000
7;1;9,2415;2,1360;7,0755;1,2110;4,2122;5,0926;4,3919;0,4000;0,5000
8;2;7,6589;1,2850;5,8638;1,0036;3,4909;5,0926;4,3919;0,4000;0,5000
9;2;7,6589;1,2850;5,8638;1,0036;3,4909;5,0926;4,3919;0,4000;0,5000
10;2;7,6589;1,2850;5,8638;1,0036;3,4909;5,0926;4,3919;0,4000;0,5000
11;2;7,6589;1,2850;5,8638;1,0036;3,4909;9,1667;4,3919;0,4000;0,5000
12;2;7,6589;1,2850;5,8638;1,0036;3,4909;9,1667;4,3919;0,4000;0,5000
13;2;7,6589;1,2850;5,8638;1,0036;3,4909;9,1667;4,3919;0,4000;0,5000
14;2;7,6589;1,2850;5,8638;1,0036;3,4909;9,1667;4,3919;0,4000;0,5000
15;3;10,5064;2,4975;6,5622;1,1231;3,9067;9,1667;5,3835;0,4000;0,5000
16;3;10,5064;2,4975;6,5622;1,1231;3,9067;9,1667;5,3835;0,4000;0,5000
17;3;10,5064;2,4975;6,5622;1,1231;3,9067;9,1667;5,3835;0,4000;0,5000
18;3;10,5064;2,4975;6,5622;1,1231;3,9067;12,2222;5,3835;0,4000;0,5000
19;3;10,5064;2,4975;6,5622;1,1231;3,9067;12,2222;5,3835;0,4000;0,5000
