Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;0,9000;0,9000;0,9900;0,1694;0,5894;5,0926;3,0568;0,4000;0,5000
2;1;0,9000;0,9000;0,9900;0,1694;0,5894;5,0926;3,0568;0,4000;0,5000
3;1;0,9000;0,9000;0,9900;0,1694;0,5894;5,0926;3,0568;0,4000;0,5000
4;1;0,9000;0,9000;0,9900;0,1694;0,5894;5,0926;3,0568;0,4000;0,5000
5;1;0,9000;0,9000;0,9900;0,1694;0,5894;5,0926;3,0568;0,4000;0,5000
6;1;0,9000;0,9000;0,9900;0,1694;0,5894;5,0926;3,0568;0,4000;0,5000
7;1;0,9000;0,9000;0,9900;0,1694;0,5894;5,0926;3,0568;0,4000;0,5000
8;2;0,9000;0,9000;0,9900;0,1694;0,5894;5,0926;3,0568;0,4000;0,5000
9;2;0,9000;0,9000;0,9900;0,1694;0,5894;5,0926;3,0568;0,4000;0,5000
10;2;0,9000;0,9000;0,9900;0,1694;0,5894;5,0926;3,0568;0,4000;0,5000
11;2;0,9000;0,9000;0,9900;0,1694;0,5894;9,1667;3,0568;0,4000;0,5000
12;2;0,9000;0,9000;0,9900;0,1694;0,5894;9,1667;3,0568;0,4000;0,5000
13;2;0,9000;0,9000;0,9900;0,1694;0,5894;9,1667;3,0568;0,4000;0,5000
14;2;0,9000;0,9000;0,9900;0,1694;0,5894;9,1667;3,0568;0,4000;0,5000
15;3;0,9000;0,9000;0,9900;0,1694;0,5894;9,1667;3,0568;0,4000;0,5000
16;3;0,9000;0,9000;0,9900;0,1694;0,5894;9,1667;3,0568;0,4000;0,5000
17;3;0,9000;0,9000;0,9900;0,1694;0,5894;9,1667;3,0568;0,4000;0,5000
18;3;0,9000;0,9000;0,9900;0,1694;0,5894;12,2222;3,0568;0,4000;0,5000
19;3;0,9000;0,9000;0,9900;0,1694;0,5894;12,2222;3,0568;0,4000;0,5000
20;3;0,9000;0,9000;0,9900;0,1694;0,5894;12,2222;3,0568;0,4000;0,5000
