Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;1,9308;0,8136;2,3526;0,4027;1,4006;5,0926;2,7596;0,4000;0,5000
2;1;1,9308;0,8136;2,3526;0,4027;1,4006;5,0926;2,7596;0,4000;0,5000
3;1;1,9308;0,8136;2,3526;0,4027;1,4006;5,0926;2,7596;0,4000;0,5000
4;1;1,9308;0,8136;2,3526;0,4027;1,4006;5,0926;2,7596;0,4000;0,5000
5;1;1,9308;0,8136;2,3526;0,4027;1,4006;5,0926;2,7596;0,4000;0,5000
6;1;1,9308;0,8136;2,3526;0,4027;1,4006;5,0926;2,7596;0,4000;0,5000
7;1;1,9308;0,8136;2,3526;0,4027;1,4006;5,0926;2,7596;0,4000;0,5000
8;2;1,9308;0,8136;2,3526;0,4027;1,4006;5,0926;2,7596;0,4000;0,5000
9;2;1,9308;0,8136;2,3526;0,4027;1,4006;5,0926;2,7596;0,4000;0,5000
10;2;1,9308;0,8136;2,3526;0,4027;1,4006;5,0926;2,7596;0,4000;0,5000
11;2;1,9308;0,8136;2,3526;0,4027;1,4006;9,1667;2,7596;0,4000;0,5000
12;2;1,9308;0,8136;2,3526;0,4027;1,4006;9,1667;2,7596;0,4000;0,5000
13;2;1,9308;0,8136;2,3526;0,4027;1,4006;9,1667;2,7596;0,4000;0,5000
14;2;1,9308;0,8136;2,3526;0,4027;1,4006;9,1667;2,7596;0,4000;0,5000
15;3;1,9308;0,8136;2,3526;0,4027;1,4006;9,1667;2,7596;0,4000;0,5000
16;3;3,3789;1,4238;4,1171;0,7046;2,4510;9,1667;2,7596;0,4000;0,5000
17;3;3,3789;1,4238;4,1171;0,7046;2,4510;9,1667;2,7596;0,4000;0,5000
18;3;3,3789;1,4238;4,1171;0,7046;2,4510;12,2222;2,7596;0,4000;0,5000
19;3;3,3789;1,4238;4,1171;0,7046;2,4510;12,2222;2,7596;0,4000;0,5000
20;3;3,3789;1,4238;4,1171;0,7046;2,4510;12,2222;2,7596;0,4000;0,5000
21;3;3,4324;1,7444;6,9718;1,1932;4,1505;12,2222;1,6554;0,4000;0,5000
22;4;3,4324;1,7444;6,9718;1,1932;4,1505;12,2222;1,6554;0,4000;0,5000
23;4;3,4324;1,7444;6,9718;1,1932;4,1505;12,2222;1,6554;0,4000;0,5000
24;4;3,4324;1,7444;6,9718;1,1932;4,1505;12,2222;1,6554;0,4000;0,5000
25;4;3,4324;1,7444;6,9718;1,1932;4,1505;12,2222;1,6554;0,4000;0,5000
26;4;3,4324;1,7444;6,9718;1,1932;4,1505;12,2222;1,6554;0,4000;0,5000
27;4;3,4324;1,7444;6,9718;1,1932;4,1505;12,2222;1,6554;0,4000;0,5000
28;4;3,4324;1,7444;6,9718;1,1932;4,1505;12,2222;1,6554;0,4000;0,5000
29;5;3,4324;1,7444;6,9718;1,1932;4,1505;12,2222;1,6554;0,4000;0,5000
