Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;0,8190;1,8069;0,9009;0,1542;0,5363;5,0926;3,0568;0,4000;0,5000
2;1;0,8190;1,8069;0,9009;0,1542;0,5363;5,0926;3,0568;0,4000;0,5000
3;1;0,8190;1,8069;0,9009;0,1542;0,5363;5,0926;3,0568;0,4000;0,5000
4;1;0,8190;1,8069;0,9009;0,1542;0,5363;5,0926;3,0568;0,4000;0,5000
5;1;0,8190;1,8069;0,9009;0,1542;0,5363;5,0926;3,0568;0,4000;0,5000
6;1;0,8190;1,8069;0,9009;0,1542;0,5363;5,0926;3,0568;0,4000;0,5000
7;1;0,8190;1,8069;0,9009;0,1542;0,5363;5,0926;3,0568;0,4000;0,5000
8;2;0,9277;2,0483;1,0205;0,1747;0,6075;5,0926;3,0568;0,4000;0,5000
9;2;0,9277;2,0483;1,0205;0,1747;0,6075;5,0926;3,0568;0,4000;0,5000
10;2;0,9277;2,0483;1,0205;0,1747;0,6075;5,0926;3,0568;0,4000;0,5000
11;2;0,9277;2,0483;1,0205;0,1747;0,6075;9,1667;3,0568;0,4000;0,5000
12;2;0,9277;2,0483;1,0205;0,1747;0,6075;9,1667;3,0568;0,4000;0,5000
13;2;0,9277;2,0483;1,0205;0,1747;0,6075;9,1667;3,0568;0,4000;0,5000
14;2;0,9277;2,0483;1,0205;0,1747;0,6075;9,1667;3,0568;0,4000;0,5000
15;3;1,0366;2,2883;1,1402;0,1952;0,6788;9,1667;3,0568;0,4000;0,5000
16;3;1,0366;2,2883;1,1402;0,1952;0,6788;9,1667;3,0568;0,4000;0,5000
17;3;1,0366;2,2883;1,1402;0,1952;0,6788;9,1667;3,0568;0,4000;0,5000
18;3;1,0366;2,2883;1,1402;0,1952;0,6788;12,2222;3,0568;0,4000;0,5000
19;3;1,0366;2,2883;1,1402;0,1952;0,6788;12,2222;3,0568;0,4000;0,5000
20;3;1,0366;2,2883;1,1402;0,1952;0,6788;12,2222;3,0568;0,4000;0,5000
21;3;1,0366;2,2883;1,1402;0,1952;0,6788;12,2222;3,0568;0,4000;0,5000
22;4;1,1465;2,5297;1,2612;0,2158;0,7508;12,2222;3,0568;0,4000;0,5000
23;4;1,1465;2,5297;1,2612;0,2158;0,7508;12,2222;3,0568;0,4000;0,5000
24;4;1,1465;2,5297;1,2612;0,2158;0,7508;12,2222;3,0568;0,4000;0,5000
25;4;1,1465;2,5297;1,2612;0,2158;0,7508;12,2222;3,0568;0,4000;0,5000
26;4;1,1465;2,5297;1,2612;0,2158;0,7508;12,2222;3,0568;0,4000;0,5000
27;4;1,1465;2,5297;1,2612;0,2158;0,7508;12,2222;3,0568;0,4000;0,5000
28;4;1,1465;2,5297;1,2612;0,2158;0,7508;12,2222;3,0568;0,4000;0,5000
29;5;1,2554;2,7710;1,3809;0,2363;0,8221;12,2222;3,0568;0,4000;0,5000
30;5;1,2554;2,7710;1,3809;0,2363;0,8221;12,2222;3,0568;0,4000;0,5000
31;5;1,2554;2,7710;1,3809;0,2363;0,8221;12,2222;3,0568;0,4000;0,5000
32;5;1,2554;2,7710;1,3809;0,2363;0,8221;12,2222;3,0568;0,4000;0,5000
