Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;1,6108;0,9691;1,7473;0,2990;1,0402;5,0926;3,1000;0,4000;0,5000
2;1;1,6108;0,9691;1,7473;0,2990;1,0402;5,0926;3,1000;0,4000;0,5000
3;1;1,6108;0,9691;1,7473;0,2990;1,0402;5,0926;3,1000;0,4000;0,5000
4;1;1,6108;0,9691;1,7473;0,2990;1,0402;5,0926;3,1000;0,4000;0,5000
5;1;1,6108;0,9691;1,7473;0,2990;1,0402;5,0926;3,1000;0,4000;0,5000
6;1;1,6108;0,9691;1,7473;0,2990;1,0402;5,0926;3,1000;0,4000;0,5000
7;1;1,6108;0,9691;1,7473;0,2990;1,0402;5,0926;3,1000;0,4000;0,5000
8;2;1,6108;0,9691;1,7473;0,2990;1,0402;5,0926;3,1000;0,4000;0,5000
9;2;1,6108;0,9691;1,7473;0,2990;1,0402;5,0926;3,1000;0,4000;0,5000
10;2;1,6108;0,9691;1,7473;0,2990;1,0402;5,0926;3,1000;0,4000;0,5000
11;2;2,8190;1,6960;3,0577;0,5233;1,8203;9,1667;3,1000;0,4000;0,5000
12;2;2,8190;1,6960;3,0577;0,5233;1,8203;9,1667;3,1000;0,4000;0,5000
13;2;2,8190;1,6960;3,0577;0,5233;1,8203;9,1667;3,1000;0,4000;0,5000
14;2;2,8190;1,6960;3,0577;0,5233;1,8203;9,1667;3,1000;0,4000;0,5000
15;3;2,8190;1,6960;3,0577;0,5233;1,8203;9,1667;3,1000;0,4000;0,5000
16;3;2,8190;1,6960;3,0577;0,5233;1,8203;9,1667;3,1000;0,4000;0,5000
17;3;2,8190;1,6960;3,0577;0,5233;1,8203;9,1667;3,1000;0,4000;0,5000
18;3;4,0271;2,4228;4,3681;0,7476;2,6005;12,2222;3,1000;0,4000;0,5000
19;3;4,0271;2,4228;4,3681;0,7476;2,6005;12,2222;3,1000;0,4000;0,5000
20;3;4,0271;2,4228;4,3681;0,7476;2,6005;12,2222;3,1000;0,4000;0,5000
21;3;4,0271;2,4228;4,3681;0,7476;2,6005;12,2222;3,1000;0,4000;0,5000
22;4;4,1756;2,4228;4,6802;0,8010;2,7862;12,2222;3,0000;0,4000;0,5000
23;4;4,1756;2,4228;4,6802;0,8010;2,7862;12,2222;3,0000;0,4000;0,5000
24;4;4,1756;2,4228;4,6802;0,8010;2,7862;12,2222;3,0000;0,4000;0,5000
25;4;4,1756;2,4228;4,6802;0,8010;2,7862;12,2222;3,0000;0,4000;0,5000
26;4;3,9802;2,2613;4,4611;0,7635;2,6558;12,2222;3,0000;0,4000;0,5000
27;4;3,9802;2,2613;4,4611;0,7635;2,6558;12,2222;3,0000;0,4000;0,5000
28;4;3,9802;2,2613;4,4611;0,7635;2,6558;12,2222;3,0000;0,4000;0,5000
29;5;3,9802;2,2613;4,4611;0,7635;2,6558;12,2222;3,0000;0,4000;0,5000
