Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;0,9628;0,6524;1,6287;0,2787;0,9696;5,0926;1,9877;0,4000;0,5000
2;1;0,9628;0,6524;1,6287;0,2787;0,9696;5,0926;1,9877;0,4000;0,5000
3;1;0,9628;0,6524;1,6287;0,2787;0,9696;5,0926;1,9877;0,4000;0,5000
4;1;0,9628;0,6524;1,6287;0,2787;0,9696;5,0926;1,9877;0,4000;0,5000
5;1;0,9628;0,6524;1,6287;0,2787;0,9696;5,0926;1,9877;0,4000;0,5000
6;1;0,9628;0,6524;1,6287;0,2787;0,9696;5,0926;1,9877;0,4000;0,5000
7;1;0,9628;0,6524;1,6287;0,2787;0,9696;5,0926;1,9877;0,4000;0,5000
8;2;0,9628;0,6524;1,6287;0,2787;0,9696;5,0926;1,9877;0,4000;0,5000
9;2;0,9628;0,6524;1,6287;0,2787;0,9696;5,0926;1,9877;0,4000;0,5000
10;2;0,9628;0,6524;1,6287;0,2787;0,9696;5,0926;1,9877;0,4000;0,5000
11;2;1,6848;1,1417;2,8502;0,4878;1,6968;9,1667;1,9877;0,4000;0,5000
12;2;1,6848;1,1417;2,8502;0,4878;1,6968;9,1667;1,9877;0,4000;0,5000
13;2;1,6848;1,1417;2,8502;0,4878;1,6968;9,1667;1,9877;0,4000;0,5000
14;2;1,6848;1,1417;2,8502;0,4878;1,6968;9,1667;1,9877;0,4000;0,5000
15;3;1,6848;1,1417;2,8502;0,4878;1,6968;9,1667;1,9877;0,4000;0,5000
16;3;1,6848;1,1417;2,8502;0,4878;1,6968;9,1667;1,9877;0,4000;0,5000
17;3;1,6848;1,1417;2,8502;0,4878;1,6968;9,1667;1,9877;0,4000;0,5000
18;3;2,4069;1,6310;4,0717;0,6969;2,4240;12,2222;1,9877;0,4000;0,5000
19;3;2,4069;1,6310;4,0717;0,6969;2,4240;12,2222;1,9877;0,4000;0,5000
20;3;2,4069;1,6310;4,0717;0,6969;2,4240;12,2222;1,9877;0,4000;0,5000
21;3;2,4069;1,6310;4,0717;0,6969;2,4240;12,2222;1,9877;0,4000;0,5000
22;4;2,4069;1,6310;4,0717;0,6969;2,4240;12,2222;1,9877;0,4000;0,5000
