Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;1,7180;1,5641;1,9256;0,3296;1,1463;5,0926;3,0000;0,4000;0,5000
2;1;1,7180;1,5641;1,9256;0,3296;1,1463;5,0926;3,0000;0,4000;0,5000
3;1;1,7180;1,5641;1,9256;0,3296;1,1463;5,0926;3,0000;0,4000;0,5000
4;1;1,7180;1,5641;1,9256;0,3296;1,1463;5,0926;3,0000;0,4000;0,5000
5;1;1,7180;1,5641;1,9256;0,3296;1,1463;5,0926;3,0000;0,4000;0,5000
6;1;1,7180;1,5641;1,9256;0,3296;1,1463;5,0926;3,0000;0,4000;0,5000
7;1;1,7180;1,5641;1,9256;0,3296;1,1463;5,0926;3,0000;0,4000;0,5000
8;2;1,7180;1,5641;1,9256;0,3296;1,1463;5,0926;3,0000;0,4000;0,5000
9;2;1,7180;1,5641;1,9256;0,3296;1,1463;5,0926;3,0000;0,4000;0,5000
10;2;1,7180;1,5641;1,9256;0,3296;1,1463;5,0926;3,0000;0,4000;0,5000
11;2;1,7180;1,5641;1,9256;0,3296;1,1463;9,1667;3,0000;0,4000;0,5000
12;2;1,7180;1,5641;1,9256;0,3296;1,1463;9,1667;3,0000;0,4000;0,5000
13;2;1,7180;1,5641;1,9256;0,3296;1,1463;9,1667;3,0000;0,4000;0,5000
14;2;1,7180;1,5641;1,9256;0,3296;1,1463;9,1667;3,0000;0,4000;0,5000
15;3;2,5180;1,5641;3,0239;0,5175;1,8002;9,1667;2,8000;0,4000;0,5000
16;3;2,8809;2,6256;3,4596;0,5921;2,0596;9,1667;2,8000;0,4000;0,5000
17;3;2,8809;2,6256;3,4596;0,5921;2,0596;9,1667;2,8000;0,4000;0,5000
18;3;2,8809;2,6256;3,4596;0,5921;2,0596;12,2222;2,8000;0,4000;0,5000
19;3;2,8809;2,6256;3,4596;0,5921;2,0596;12,2222;2,8000;0,4000;0,5000
20;3;2,8809;2,6256;3,4596;0,5921;2,0596;12,2222;2,8000;0,4000;0,5000
21;3;2,8809;2,6256;3,4596;0,5921;2,0596;12,2222;2,8000;0,4000;0,5000
22;4;2,8809;2,6256;3,4596;0,5921;2,0596;12,2222;2,8000;0,4000;0,5000
23;4;2,8809;2,6256;3,4596;0,5921;2,0596;12,2222;2,8000;0,4000;0,5000
24;4;2,8809;2,6256;3,4596;0,5921;2,0596;12,2222;2,8000;0,4000;0,5000
25;4;2,8809;2,6256;3,4596;0,5921;2,0596;12,2222;2,8000;0,4000;0,5000
26;4;4,4192;2,6256;5,3070;0,9083;3,1594;12,2222;2,8000;0,4000;0,5000
27;4;4,4192;2,6256;5,3070;0,9083;3,1594;12,2222;2,8000;0,4000;0,5000
28;4;4,4192;2,6256;5,3070;0,9083;3,1594;12,2222;2,8000;0,4000;0,5000
29;5;4,5286;2,6256;5,8567;1,0024;3,4866;12,2222;2,6000;0,4000;0,5000
30;5;4,5286;2,6256;5,8567;1,0024;3,4866;12,2222;2,6000;0,4000;0,5000
31;5;6,7893;3,2381;8,7805;1,5028;5,2273;12,2222;2,6000;0,4000;0,5000
32;5;6,7893;3,2381;8,7805;1,5028;5,2273;12,2222;2,6000;0,4000;0,5000
33;5;6,7893;3,2381;8,7805;1,5028;5,2273;17,3149;2,6000;0,4000;0,5000
34;5;6,7893;3,2381;8,7805;1,5028;5,2273;17,3149;2,6000;0,4000;0,5000
35;5;6,7893;3,2381;8,7805;1,5028;5,2273;17,3149;2,6000;0,4000;0,5000
36;6;7,7816;3,2381;10,0637;1,7224;5,9912;17,3149;2,6000;0,4000;0,5000
37;6;7,7816;3,2381;10,0637;1,7224;5,9912;17,3149;2,6000;0,4000;0,5000
38;6;7,7816;3,2381;10,0637;1,7224;5,9912;17,3149;2,6000;0,4000;0,5000
39;6;7,7816;3,2381;10,0637;1,7224;5,9912;17,3149;2,6000;0,4000;0,5000
40;6;7,7816;3,2381;10,0637;1,7224;5,9912;17,3149;2,6000;0,4000;0,5000
41;6;7,7816;3,2381;10,0637;1,7224;5,9912;17,3149;2,6000;0,4000;0,5000
42;6;7,7816;3,2381;10,0637;1,7224;5,9912;17,3149;2,6000;0,4000;0,5000
43;7;8,2066;3,2381;10,6134;1,8165;6,3185;17,3149;2,6000;0,4000;0,5000
44;7;8,2066;3,2381;10,6134;1,8165;6,3185;17,3149;2,6000;0,4000;0,5000
45;7;8,2066;3,2381;10,6134;1,8165;6,3185;17,3149;2,6000;0,4000;0,5000
46;7;8,8616;3,2381;11,4605;1,9615;6,8228;17,3149;2,6000;0,4000;0,5000
