Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;0,3482;0,2089;0,4182;0,0716;0,2489;5,0926;2,8000;0,4000;0,5000
2;1;0,3482;0,2089;0,4182;0,0716;0,2489;5,0926;2,8000;0,4000;0,5000
3;1;0,3482;0,2089;0,4182;0,0716;0,2489;5,0926;2,8000;0,4000;0,5000
4;1;0,3482;0,2089;0,4182;0,0716;0,2489;5,0926;2,8000;0,4000;0,5000
5;1;0,3482;0,2089;0,4182;0,0716;0,2489;5,0926;2,8000;0,4000;0,5000
6;1;0,3482;0,2089;0,4182;0,0716;0,2489;5,0926;2,8000;0,4000;0,5000
7;1;0,3482;0,2089;0,4182;0,0716;0,2489;5,0926;2,8000;0,4000;0,5000
8;2;0,3482;0,2089;0,4182;0,0716;0,2489;5,0926;2,8000;0,4000;0,5000
9;2;0,3482;0,2089;0,4182;0,0716;0,2489;5,0926;2,8000;0,4000;0,5000
10;2;0,3482;0,2089;0,4182;0,0716;0,2489;5,0926;2,8000;0,4000;0,5000
11;2;0,6094;0,3656;0,7318;0,1252;0,4356;9,1667;2,8000;0,4000;0,5000
12;2;0,6094;0,3656;0,7318;0,1252;0,4356;9,1667;2,8000;0,4000;0,5000
13;2;0,6094;0,3656;0,7318;0,1252;0,4356;9,1667;2,8000;0,4000;0,5000
14;2;0,6094;0,3656;0,7318;0,1252;0,4356;9,1667;2,8000;0,4000;0,5000
15;3;0,6094;0,3656;0,7318;0,1252;0,4356;9,1667;2,8000;0,4000;0,5000
16;3;0,6094;0,3656;0,7318;0,1252;0,4356;9,1667;2,8000;0,4000;0,5000
17;3;0,6094;0,3656;0,7318;0,1252;0,4356;9,1667;2,8000;0,4000;0,5000
18;3;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
19;3;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
20;3;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
21;3;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
22;4;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
23;4;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
24;4;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
25;4;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
26;4;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
27;4;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
28;4;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
29;5;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
30;5;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
31;5;0,8705;0,5223;1,0454;0,1789;0,6224;12,2222;2,8000;0,4000;0,5000
