Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;1,2526;0,4053;1,4330;0,2759;0,8531;5,0926;2,9392;0,4500;0,5000
2;1;1,2526;0,4053;1,4330;0,2759;0,8531;5,0926;2,9392;0,4500;0,5000
3;1;1,2526;0,4053;1,4330;0,2759;0,8531;5,0926;2,9392;0,4500;0,5000
4;1;1,2526;0,4053;1,4330;0,2759;0,8531;5,0926;2,9392;0,4500;0,5000
5;1;1,2526;0,4053;1,4330;0,2759;0,8531;5,0926;2,9392;0,4500;0,5000
6;1;1,2526;0,4053;1,4330;0,2759;0,8531;5,0926;2,9392;0,4500;0,5000
7;1;1,2526;0,4053;1,4330;0,2759;0,8531;5,0926;2,9392;0,4500;0,5000
8;2;1,2526;0,4053;1,4330;0,2759;0,8531;5,0926;2,9392;0,4500;0,5000
9;2;1,2526;0,4053;1,4330;0,2759;0,8531;5,0926;2,9392;0,4500;0,5000
10;2;1,2526;0,4053;1,4330;0,2759;0,8531;5,0926;2,9392;0,4500;0,5000
11;2;1,2526;0,4053;1,4330;0,2759;0,8531;9,1667;2,9392;0,4500;0,5000
12;2;1,2526;0,4053;1,4330;0,2759;0,8531;9,1667;2,9392;0,4500;0,5000
13;2;1,2526;0,4053;1,4330;0,2759;0,8531;9,1667;2,9392;0,4500;0,5000
14;2;1,2526;0,4053;1,4330;0,2759;0,8531;9,1667;2,9392;0,4500;0,5000
15;3;1,7605;0,4053;2,1483;0,4136;1,2789;9,1667;2,7555;0,4500;0,5000
16;3;1,7605;0,4053;2,1483;0,4136;1,2789;9,1667;2,7555;0,4500;0,5000
17;3;1,7605;0,4053;2,1483;0,4136;1,2789;9,1667;2,7555;0,4500;0,5000
18;3;1,7605;0,4053;2,1483;0,4136;1,2789;12,2222;2,7555;0,4500;0,5000
19;3;1,7605;0,4053;2,1483;0,4136;1,2789;12,2222;2,7555;0,4500;0,5000
20;3;1,7605;0,4053;2,1483;0,4136;1,2789;12,2222;2,7555;0,4500;0,5000
21;3;1,7605;0,4053;2,1483;0,4136;1,2789;12,2222;2,7555;0,4500;0,5000
22;4;1,7605;0,4053;2,1483;0,4136;1,2789;12,2222;2,7555;0,4500;0,5000
23;4;1,7605;0,4053;2,1483;0,4136;1,2789;12,2222;2,7555;0,4500;0,5000
24;4;1,7605;0,4053;2,1483;0,4136;1,2789;12,2222;2,7555;0,4500;0,5000
25;4;1,7605;0,4053;2,1483;0,4136;1,2789;12,2222;2,7555;0,4500;0,5000
26;4;1,7605;0,4053;2,1483;0,4136;1,2789;12,2222;2,7555;0,4500;0,5000
27;4;1,7605;0,4053;2,1483;0,4136;1,2789;12,2222;2,7555;0,4500;0,5000
28;4;1,7605;0,4053;2,1483;0,4136;1,2789;12,2222;2,7555;0,4500;0,5000
29;5;2,8770;0,4053;3,7615;0,7243;2,2393;12,2222;2,5718;0,4500;0,5000
30;5;2,8770;0,4053;3,7615;0,7243;2,2393;12,2222;2,5718;0,4500;0,5000
31;5;2,8770;0,4053;3,7615;0,7243;2,2393;12,2222;2,5718;0,4500;0,5000
32;5;2,8770;0,4053;3,7615;0,7243;2,2393;12,2222;2,5718;0,4500;0,5000
33;5;2,8770;0,4053;3,7615;0,7243;2,2393;17,3149;2,5718;0,4500;0,5000
34;5;2,8770;0,4053;3,7615;0,7243;2,2393;17,3149;2,5718;0,4500;0,5000
35;5;2,8770;0,4053;3,7615;0,7243;2,2393;17,3149;2,5718;0,4500;0,5000
36;6;2,8770;0,4053;3,7615;0,7243;2,2393;17,3149;2,5718;0,4500;0,5000
37;6;2,8770;0,4053;3,7615;0,7243;2,2393;17,3149;2,5718;0,4500;0,5000
38;6;2,8770;0,4053;3,7615;0,7243;2,2393;17,3149;2,5718;0,4500;0,5000
39;6;2,8770;0,4053;3,7615;0,7243;2,2393;17,3149;2,5718;0,4500;0,5000
40;6;2,8770;0,4053;3,7615;0,7243;2,2393;17,3149;2,5718;0,4500;0,5000
41;6;2,8770;0,4053;3,7615;0,7243;2,2393;17,3149;2,5718;0,4500;0,5000
42;6;2,8770;0,4053;3,7615;0,7243;2,2393;17,3149;2,5718;0,4500;0,5000
43;7;3,0140;0,4053;3,9407;0,7588;2,3460;17,3149;2,5718;0,4500;0,5000
44;7;3,0140;0,4053;3,9407;0,7588;2,3460;17,3149;2,5718;0,4500;0,5000
45;7;3,0140;0,4053;3,9407;0,7588;2,3460;17,3149;2,5718;0,4500;0,5000
46;7;3,0140;0,4053;3,9407;0,7588;2,3460;17,3149;2,5718;0,4500;0,5000
47;7;3,0140;0,4053;3,9407;0,7588;2,3460;17,3149;2,5718;0,4500;0,5000
48;7;3,0140;0,4053;3,9407;0,7588;2,3460;23,4260;2,5718;0,4500;0,5000
49;7;3,0140;0,4053;3,9407;0,7588;2,3460;23,4260;2,5718;0,4500;0,5000
50;8;3,0140;0,4053;3,9407;0,7588;2,3460;23,4260;2,5718;0,4500;0,5000
51;8;3,0140;0,4053;3,9407;0,7588;2,3460;23,4260;2,5718;0,4500;0,5000
52;8;3,0140;0,4053;3,9407;0,7588;2,3460;23,4260;2,5718;0,4500;0,5000
53;8;3,0140;0,4053;3,9407;0,7588;2,3460;23,4260;2,5718;0,4500;0,5000
54;8;3,0140;0,4053;3,9407;0,7588;2,3460;23,4260;2,5718;0,4500;0,5000
55;8;3,0140;0,4053;3,9407;0,7588;2,3460;23,4260;2,5718;0,4500;0,5000
56;8;2,7987;0,4053;3,9407;0,7588;2,3460;23,4260;2,3881;0,4500;0,5000
57;9;2,7987;0,4053;3,9407;0,7588;2,3460;23,4260;2,3881;0,4500;0,5000
58;9;2,7987;0,4053;3,9407;0,7588;2,3460;23,4260;2,3881;0,4500;0,5000
59;9;2,7987;0,4053;3,9407;0,7588;2,3460;23,4260;2,3881;0,4500;0,5000
