Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;1,9200;3,2906;2,2448;0,3842;1,3364;5,0926;2,8761;0,4000;0,5000
2;1;1,9200;3,2906;2,2448;0,3842;1,3364;5,0926;2,8761;0,4000;0,5000
3;1;1,9200;3,2906;2,2448;0,3842;1,3364;5,0926;2,8761;0,4000;0,5000
4;1;1,9200;3,2906;2,2448;0,3842;1,3364;5,0926;2,8761;0,4000;0,5000
5;1;1,9200;3,2906;2,2448;0,3842;1,3364;5,0926;2,8761;0,4000;0,5000
6;1;1,9200;3,2906;2,2448;0,3842;1,3364;5,0926;2,8761;0,4000;0,5000
7;1;1,9200;3,2906;2,2448;0,3842;1,3364;5,0926;2,8761;0,4000;0,5000
8;2;1,9200;3,1602;2,2449;0,3842;1,3364;5,0926;2,8759;0,4000;0,5000
9;2;1,9200;3,1602;2,2449;0,3842;1,3364;5,0926;2,8759;0,4000;0,5000
10;2;1,9200;3,1602;2,2449;0,3842;1,3364;5,0926;2,8759;0,4000;0,5000
11;2;1,9200;3,1602;2,2449;0,3842;1,3364;9,1667;2,8759;0,4000;0,5000
12;2;1,9200;3,1602;2,2449;0,3842;1,3364;9,1667;2,8759;0,4000;0,5000
13;2;1,9200;3,1602;2,2449;0,3842;1,3364;9,1667;2,8759;0,4000;0,5000
14;2;1,9200;3,1602;2,2449;0,3842;1,3364;9,1667;2,8759;0,4000;0,5000
15;3;4,9000;3,1602;6,1224;1,0478;3,6448;9,1667;2,6912;0,4000;0,5000
16;3;4,9000;3,1602;6,1224;1,0478;3,6448;9,1667;2,6912;0,4000;0,5000
17;3;4,9000;3,1602;6,1224;1,0478;3,6448;9,1667;2,6912;0,4000;0,5000
18;3;4,9000;3,1602;6,1224;1,0478;3,6448;12,2222;2,6912;0,4000;0,5000
19;3;4,9000;3,1602;6,1224;1,0478;3,6448;12,2222;2,6912;0,4000;0,5000
20;3;4,9000;3,1602;6,1224;1,0478;3,6448;12,2222;2,6912;0,4000;0,5000
21;3;4,9000;3,1602;6,1224;1,0478;3,6448;12,2222;2,6912;0,4000;0,5000
22;4;6,2211;2,5991;8,3674;1,4321;4,9813;12,2222;2,5000;0,4000;0,5000
23;4;6,2211;2,5991;8,3674;1,4321;4,9813;12,2222;2,5000;0,4000;0,5000
24;4;6,2211;2,5991;8,3674;1,4321;4,9813;12,2222;2,5000;0,4000;0,5000
25;4;6,2211;2,5991;8,3674;1,4321;4,9813;12,2222;2,5000;0,4000;0,5000
26;4;6,2211;2,5991;8,3674;1,4321;4,9813;12,2222;2,5000;0,4000;0,5000
27;4;6,2211;2,5991;8,3674;1,4321;4,9813;12,2222;2,5000;0,4000;0,5000
28;4;6,2211;2,5991;8,3674;1,4321;4,9813;12,2222;2,5000;0,4000;0,5000
29;5;6,2211;3,2556;8,3674;1,4321;4,9813;12,2222;2,5000;0,4000;0,5000
30;5;6,2211;3,2556;8,3674;1,4321;4,9813;12,2222;2,5000;0,4000;0,5000
31;5;6,2211;3,2556;8,3674;1,4321;4,9813;12,2222;2,5000;0,4000;0,5000
32;5;6,2211;3,2556;8,3674;1,4321;4,9813;12,2222;2,5000;0,4000;0,5000
33;5;6,2211;3,2556;8,3674;1,4321;4,9813;17,3149;2,5000;0,4000;0,5000
34;5;6,2211;3,2556;8,3674;1,4321;4,9813;17,3149;2,5000;0,4000;0,5000
35;5;6,2211;3,2556;8,3674;1,4321;4,9813;17,3149;2,5000;0,4000;0,5000
36;6;8,7398;3,6155;12,2449;2,0957;7,2897;17,3149;2,4000;0,4000;0,5000
37;6;8,7398;3,6155;12,2449;2,0957;7,2897;17,3149;2,4000;0,4000;0,5000
38;6;8,7398;3,6155;12,2449;2,0957;7,2897;17,3149;2,4000;0,4000;0,5000
39;6;8,7398;3,6155;12,2449;2,0957;7,2897;17,3149;2,4000;0,4000;0,5000
40;6;8,7398;3,6155;12,2449;2,0957;7,2897;17,3149;2,4000;0,4000;0,5000
41;6;8,7398;3,6155;12,2449;2,0957;7,2897;17,3149;2,4000;0,4000;0,5000
42;6;8,7398;3,6155;12,2449;2,0957;7,2897;17,3149;2,4000;0,4000;0,5000
43;7;8,7398;3,6155;12,2449;2,0957;7,2897;17,3149;2,4000;0,4000;0,5000
44;7;8,7398;3,6155;12,2449;2,0957;7,2897;17,3149;2,4000;0,4000;0,5000
45;7;8,7398;3,6155;12,2449;2,0957;7,2897;17,3149;2,4000;0,4000;0,5000
46;7;8,7398;3,6155;12,2449;2,0957;7,2897;17,3149;2,4000;0,4000;0,5000
47;7;8,7398;3,6155;12,2449;2,0957;7,2897;17,3149;2,4000;0,4000;0,5000
48;7;8,7398;3,6155;12,2449;2,0957;7,2897;23,4260;2,4000;0,4000;0,5000
49;7;8,7398;3,6155;12,2449;2,0957;7,2897;23,4260;2,4000;0,4000;0,5000
50;8;10,3420;2,9296;14,4896;2,4799;8,6261;23,4260;2,4000;0,4000;0,5000
51;8;10,3420;2,9296;14,4896;2,4799;8,6261;23,4260;2,4000;0,4000;0,5000
52;8;10,3420;2,9296;14,4896;2,4799;8,6261;23,4260;2,4000;0,4000;0,5000
53;8;10,3420;2,9296;14,4896;2,4799;8,6261;23,4260;2,4000;0,4000;0,5000
54;8;10,3420;2,9296;14,4896;2,4799;8,6261;23,4260;2,4000;0,4000;0,5000
55;8;10,3420;2,9296;14,4896;2,4799;8,6261;23,4260;2,4000;0,4000;0,5000
56;8;10,3420;2,9296;14,4896;2,4799;8,6261;23,4260;2,4000;0,4000;0,5000
57;9;10,3420;2,9296;14,4896;2,4799;8,6261;23,4260;2,4000;0,4000;0,5000
58;9;10,3420;2,9296;14,4896;2,4799;8,6261;23,4260;2,4000;0,4000;0,5000
59;9;10,3420;2,9296;14,4896;2,4799;8,6261;23,4260;2,4000;0,4000;0,5000
60;9;10,3420;2,9296;14,4896;2,4799;8,6261;23,4260;2,4000;0,4000;0,5000
61;9;8,6183;2,9296;14,4896;2,4799;8,6261;23,4260;2,0000;0,4000;0,5000
62;9;8,6183;2,9296;14,4896;2,4799;8,6261;23,4260;2,0000;0,4000;0,5000
63;9;8,6183;2,9296;14,4896;2,4799;8,6261;29,5372;2,0000;0,4000;0,5000
64;10;8,6183;2,9296;14,4896;2,4799;8,6261;29,5372;2,0000;0,4000;0,5000
65;10;8,6183;2,9296;14,4896;2,4799;8,6261;29,5372;2,0000;0,4000;0,5000
66;10;8,6183;2,9296;14,4896;2,4799;8,6261;29,5372;2,0000;0,4000;0,5000
67;10;8,6183;2,9296;14,4896;2,4799;8,6261;29,5372;2,0000;0,4000;0,5000
68;10;8,6183;2,9296;14,4896;2,4799;8,6261;29,5372;2,0000;0,4000;0,5000
69;10;8,6183;2,9296;14,4896;2,4799;8,6261;29,5372;2,0000;0,4000;0,5000
70;10;8,6183;2,9296;14,4896;2,4799;8,6261;29,5372;2,0000;0,4000;0,5000
71;11;8,6183;2,9296;14,4896;2,4799;8,6261;29,5372;2,0000;0,4000;0,5000
72;11;8,6183;2,9296;14,4896;2,4799;8,6261;29,5372;2,0000;0,4000;0,5000
73;11;8,6183;2,9296;14,4896;2,4799;8,6261;29,5372;2,0000;0,4000;0,5000
74;11;8,6183;2,9296;14,4896;2,4799;8,6261;29,5372;2,0000;0,4000;0,5000
75;11;8,6183;2,9296;14,4896;2,4799;8,6261;29,5372;2,0000;0,4000;0,5000
76;11;7,7565;2,9296;14,4896;2,4799;8,6261;29,5372;1,8000;0,4000;0,5000
77;11;7,7565;2,9296;14,4896;2,4799;8,6261;29,5372;1,8000;0,4000;0,5000
78;12;7,7565;2,9296;14,4896;2,4799;8,6261;29,5372;1,8000;0,4000;0,5000
79;12;7,7565;2,9296;14,4896;2,4799;8,6261;29,5372;1,8000;0,4000;0,5000
80;12;7,7565;2,9296;14,4896;2,4799;8,6261;29,5372;1,8000;0,4000;0,5000
81;12;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
82;12;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
83;12;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
84;12;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
85;13;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
86;13;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
87;13;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
88;13;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
89;13;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
90;13;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
91;13;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
92;14;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
93;14;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
94;14;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
95;14;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
96;14;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
97;14;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
98;14;7,7565;2,9296;14,4896;2,4799;8,6261;35,6483;1,8000;0,4000;0,5000
