Giorni Dopo Semina;Settimana;N;P2O5;K2O;MgO;CaO;B Grammi/Ha;Rapporto N:K N/(K2O/3.36);Rapporto Ca:Mg (1:0.5-0.25) (CaO/1.39)/MgO;Rapporto K:Ca (0.35-1:1) (CaO/1.19)/K2O
1;1;2,1977;1,4658;2,8193;0,4825;1,6784;5,0926;2,5491;0,2756;0,5953
2;1;2,1977;1,4658;2,8193;0,4825;1,6784;5,0926;2,5491;0,2756;0,5953
3;1;2,1977;1,4658;2,8193;0,4825;1,6784;5,0926;2,5491;0,2756;0,5953
4;1;2,1977;1,4658;2,8193;0,4825;1,6784;5,0926;2,5491;0,2756;0,5953
5;1;2,1977;1,4658;2,8193;0,4825;1,6784;5,0926;2,5491;0,2756;0,5953
6;1;2,1977;1,4658;2,8193;0,4825;1,6784;5,0926;2,5491;0,2756;0,5953
7;1;2,1977;1,4658;2,8193;0,4825;1,6784;5,0926;2,5491;0,2756;0,5953
8;2;2,1977;1,4658;2,8193;0,4825;1,6784;5,0926;2,5491;0,2756;0,5953
9;2;2,1977;1,4658;2,8193;0,4825;1,6784;5,0926;2,5491;0,2756;0,5953
10;2;2,1977;1,4658;2,8193;0,4825;1,6784;5,0926;2,5491;0,2756;0,5953
11;2;2,1977;1,4658;2,8193;0,4825;1,6784;9,1667;2,5491;0,2756;0,5953
12;2;2,1977;1,4658;2,8193;0,4825;1,6784;9,1667;2,5491;0,2756;0,5953
13;2;2,1977;1,4658;2,8193;0,4825;1,6784;9,1667;2,5491;0,2756;0,5953
14;2;2,1977;1,4658;2,8193;0,4825;1,6784;9,1667;2,5491;0,2756;0,5953
15;3;4,3954;4,0461;5,6385;0,9650;3,3568;9,1667;2,5491;0,2756;0,5953
16;3;4,3954;4,0461;5,6385;0,9650;3,3568;9,1667;2,5491;0,2756;0,5953
17;3;4,3954;4,0461;5,6385;0,9650;3,3568;9,1667;2,5491;0,2756;0,5953
18;3;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
19;3;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
20;3;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
21;3;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
22;4;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
23;4;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
24;4;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
25;4;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
26;4;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
27;4;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
28;4;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
29;5;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
30;5;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
31;5;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
32;5;4,3954;4,0461;5,6385;0,9650;3,3568;12,2222;2,5491;0,2756;0,5953
33;5;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
34;5;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
35;5;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
36;6;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
37;6;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
38;6;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
39;6;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
40;6;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
41;6;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
42;6;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
43;7;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
44;7;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
45;7;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
46;7;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
47;7;4,3954;4,0461;5,6385;0,9650;3,3568;17,3149;2,5491;0,2756;0,5953
48;7;4,3954;4,0461;5,6385;0,9650;3,3568;23,4260;2,5491;0,2756;0,5953
49;7;4,3954;4,0461;5,6385;0,9650;3,3568;23,4260;2,5491;0,2756;0,5953
50;8;4,1512;1,8117;5,6385;0,9650;3,3568;23,4260;2,4074;0,2756;0,5953
51;8;4,1512;1,8117;5,6385;0,9650;3,3568;23,4260;2,4074;0,2756;0,5953
52;8;4,1512;1,8117;5,6385;0,9650;3,3568;23,4260;2,4074;0,2756;0,5953
53;8;4,1512;1,8117;5,6385;0,9650;3,3568;23,4260;2,4074;0,2756;0,5953
54;8;4,1512;1,8117;5,6385;0,9650;3,3568;23,4260;2,4074;0,2756;0,5953
55;8;4,1512;1,8117;5,6385;0,9650;3,3568;23,4260;2,4074;0,2756;0,5953
56;8;4,1512;1,8117;5,6385;0,9650;3,3568;23,4260;2,4074;0,2756;0,5953
57;9;4,1512;1,8117;5,6385;0,9650;3,3568;23,4260;2,4074;0,2756;0,5953
58;9;4,1512;1,8117;5,6385;0,9650;3,3568;23,4260;2,4074;0,2756;0,5953
59;9;4,1512;1,8117;5,6385;0,9650;3,3568;23,4260;2,4074;0,2756;0,5953
60;9;4,1512;1,8117;5,6385;0,9650;3,3568;23,4260;2,4074;0,2756;0,5953
61;9;4,1512;1,8117;5,6385;0,9650;3,3568;23,4260;2,4074;0,2756;0,5953
62;9;4,1512;1,8117;5,6385;0,9650;3,3568;23,4260;2,4074;0,2756;0,5953
63;9;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
64;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
65;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
66;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
67;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
68;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
69;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
70;10;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
71;11;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
72;11;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
73;11;4,1512;1,8117;5,6385;0,9650;3,3568;29,5372;2,4074;0,2756;0,5953
