Cod Prodotto;Des Prodotto;Cod Uso Varieta;Des Uso Varieta;CODI_OCCU;CODI_DEST_USO;CODI_USO;CODI_QUAL;DESC_OCCU;DEST_USO;DESC_USO;DESC_QUAL
001;GRANTURCO (MAIS) DA GRANELLA;000;VARIETA' GENERICA;001;011;000;000;GRANTURCO (MAIS);FAVE, SEMI, GRANELLA;;
001;GRANTURCO (MAIS);064;FAVE, SEMI, GRANELLA - PASTONE;001;011;000;064;GRANTURCO (MAIS);FAVE, SEMI, GRANELLA;;PASTONE
001;GRANTURCO (MAIS);066;FAVE, SEMI, GRANELLA - DA POLENTA;001;011;000;066;GRANTURCO (MAIS);FAVE, SEMI, GRANELLA;;DA POLENTA
001;GRANTURCO (MAIS) DA GRANELLA;500;USO ENERGETICO;001;011;000;022;GRANTURCO (MAIS);FAVE, SEMI, GRANELLA;;ENERGETICO
002;GRANO (FRUMENTO) DURO;000;VARIETA' GENERICA;002;011;000;000;GRANO (FRUMENTO) DURO;FAVE, SEMI, GRANELLA;;
002;GRANO (FRUMENTO) DURO;500;USO ENERGETICO;002;011;000;022;GRANO (FRUMENTO) DURO;FAVE, SEMI, GRANELLA;;ENERGETICO
004;SOIA - FAVE;000;VARIETA' GENERICA;004;011;000;000;SOIA;FAVE, SEMI, GRANELLA;;
004;SOIA - FAVE;500;USO ENERGETICO;004;011;000;022;SOIA;FAVE, SEMI, GRANELLA;;ENERGETICO
005;GIRASOLE - SEMI;000;VARIETA' GENERICA;005;011;000;000;GIRASOLE;FAVE, SEMI, GRANELLA;;
005;GIRASOLE;002;DA FORAGGIO - ENERGETICO;005;002;000;022;GIRASOLE;DA FORAGGIO;;ENERGETICO
005;GIRASOLE - SEMI;500;USO ENERGETICO;005;011;000;022;GIRASOLE;FAVE, SEMI, GRANELLA;;ENERGETICO
005;GIRASOLE;D01;DA TAVOLA;005;011;000;050;GIRASOLE;FAVE, SEMI, GRANELLA;;DA TAVOLA
007;ARALIA;001;;007;000;000;000;ARALIA;;;
007;ARALIA;008;FOGLIE;007;010;024;000;ARALIA;DA VIVAIO;FOGLIE;
008;ASPIDISTRA;001;;008;000;000;000;ASPIDISTRA;;;
008;ASPIDISTRA;008;FOGLIE;008;010;024;000;ASPIDISTRA;DA VIVAIO;FOGLIE;
009;FARRO;000;VARIETA' GENERICA;009;011;000;000;FARRO;FAVE, SEMI, GRANELLA;;
009;FARRO;500;USO ENERGETICO;009;011;000;022;FARRO;FAVE, SEMI, GRANELLA;;ENERGETICO
010;FETTUCCIA D'ACQUA (PHALARIS ARUNDICEA);000;;010;000;000;000;FETTUCCIA D'ACQUA;;;
010;FETTUCCIA D'ACQUA (PHALARIS ARUNDICEA);500;USO ENERGETICO;010;000;000;022;FETTUCCIA D'ACQUA;;;ENERGETICO
011;STEVIA REBAUDIANA;000;;011;000;000;000;STEVIA REBAUDIANA;;;
013;CALLA;001;;013;000;000;000;CALLA;;;
016;LENTICCHIE;000;VARIETA' GENERICA;016;011;000;000;LENTICCHIE;FAVE, SEMI, GRANELLA;;
017;GERBERA;001;;017;000;000;000;GERBERA;;;
018;ORCHIDEA;001;;018;000;000;000;ORCHIDEA;;;
019;RISONE;099;ALTRO;019;011;037;000;RISONE;FAVE, SEMI, GRANELLA;SPERIMENTALE;
020;PISELLI ALLO STATO SECCO;000;VARIETA' GENERICA;020;011;000;000;PISELLO;FAVE, SEMI, GRANELLA;;
020;PISELLO;067;FAVE, SEMI, GRANELLA - PROTEICO;020;011;000;067;PISELLO;FAVE, SEMI, GRANELLA;;PROTEICO
023;ORTENSIA;000;;023;010;000;000;ORTENSIA;DA VIVAIO;;
023;ORTENSIA;001;;023;000;000;000;ORTENSIA;;;
023;ORTENSIA;004;FIORE RECISO;023;010;023;000;ORTENSIA;DA VIVAIO;FIORE RECISO;
024;BIETOLA (Compresa  la CHELTENHAM BEET, BARBABIETOLA ROSSA/BIETOLA DA COSTA) DA FORAGGIO;000;;024;002;000;000;BIETOLA (Compresa  la CHELTENHAM BEET, BARBABIETOLA ROSSA/BIETOLA DA COSTA);DA FORAGGIO;;
025;TABACCO;000;VARIETA' GENERICA;025;003;000;000;TABACCO;DA INDUSTRIA;;
027;CAROTA - DA FORAGGIO;000;;027;002;000;000;CAROTA;DA FORAGGIO;;
028;CAVOLO - DA FORAGGIO;000;;028;002;000;000;CAVOLO;DA FORAGGIO;;
029;CICERCHIA;000;VARIETA' GENERICA;029;011;000;000;CICERCHIA;FAVE, SEMI, GRANELLA;;
030;CICERCHIA - DA FORAGGIO;053;ERBAIO IN PUREZZA, ANNUALE - NON PERMANENTE;029;002;053;043;CICERCHIA;DA FORAGGIO;ERBAIO IN PUREZZA, ANNUALE - NON PERMANENTE;DI LEGUMINOSE
031;PEONIA;000;;031;010;000;000;PEONIA;DA VIVAIO;;
031;PEONIA;001;;031;000;000;000;PEONIA;;;
031;PEONIA;004;FIORE RECISO;031;010;023;000;PEONIA;DA VIVAIO;FIORE RECISO;
033;PHILODENDRO;000;;033;010;000;000;PHILODENDRO;DA VIVAIO;;
033;PHILODENDRO;001;;033;000;000;000;PHILODENDRO;;;
033;PHILODENDRO;008;FOGLIE;033;010;024;000;PHILODENDRO;DA VIVAIO;FOGLIE;
034;PIANTE GRASSE;000;;034;010;000;000;PIANTE GRASSE;DA VIVAIO;;
035;ROSA;000;;035;010;000;000;ROSA;DA VIVAIO;;
035;ROSA;001;;035;000;000;000;ROSA;;;
035;ROSA;003;FRONDE DA BACCHE;035;010;025;000;ROSA;DA VIVAIO;FRONDE DA BACCHE;
035;ROSA;004;FIORE RECISO;035;010;023;000;ROSA;DA VIVAIO;FIORE RECISO;
036;STRELITZIA;000;;036;010;000;000;STRELITZIA;DA VIVAIO;;
036;STRELITZIA;001;;036;000;000;000;STRELITZIA;;;
036;STRELITZIA;004;FIORE RECISO;036;010;023;000;STRELITZIA;DA VIVAIO;FIORE RECISO;
037;GLADIOLO;000;;037;010;000;000;GLADIOLO;DA VIVAIO;;
037;GLADIOLO;001;;037;000;000;000;GLADIOLO;;;
037;GLADIOLO;004;FIORE RECISO;037;010;023;000;GLADIOLO;DA VIVAIO;FIORE RECISO;
039;GINESTRA;000;;039;010;000;000;GINESTRA;DA VIVAIO;;
039;GINESTRA;002;FRONDE FIORITE;039;010;026;000;GINESTRA;DA VIVAIO;FRONDE FIORITE;
040;MIMOSA;000;;040;010;000;000;MIMOSA;DA VIVAIO;;
040;MIMOSA;002;FRONDE FIORITE;040;010;026;000;MIMOSA;DA VIVAIO;FRONDE FIORITE;
042;PITTOSPORO;000;;042;010;000;000;PITTOSPORO;DA VIVAIO;;
042;PITTOSPORO;001;FRONDE VERDI;042;010;027;000;PITTOSPORO;DA VIVAIO;FRONDE VERDI;
043;RUSCUS;000;VARIETA' GENERICA;043;010;000;000;RUSCUS;DA VIVAIO;;
043;RUSCUS;001;FRONDE VERDI;043;010;027;000;RUSCUS;DA VIVAIO;FRONDE VERDI;
043;RUSCUS;002;;043;000;000;000;RUSCUS;;;
044;MELO;000;;044;000;000;000;MELO;;;
044;MELO;058;USO FORESTALE;044;000;058;000;MELO;;FORESTALE;
044;MELO;059;IN FASE DI PIANTUMAZIONE;044;000;059;000;MELO;;IN FASE DI PIANTUMAZIONE;
045;SPELTA - DA FORAGGIO;053;ERBAIO IN PUREZZA, ANNUALE - NON PERMANENTE;045;002;053;045;SPELTA;DA FORAGGIO;ERBAIO IN PUREZZA, ANNUALE - NON PERMANENTE;DI GRAMINACEE
